device/C,kernel/C,workDimension/C,width/F,height/F,steps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,1,1,1,44.0186,979.459,48.999,0.009,2764.06,0.007,5.135
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,1,2,1,44.0186,1081.06,48.416,0.009,2584.94,0.005,5.437
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,1,4,1,44.0186,1124.23,48.389,0.009,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,1,8,1,44.0186,983.837,48.232,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,1,16,1,44.0186,984.394,48.196,0.009,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,1,32,1,44.0186,983.873,48.345,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,1,64,1,44.0186,978.132,48.329,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,1,128,1,44.0186,982.024,48.206,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,1,256,1,44.0186,982.984,48.605,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,1,512,1,44.0186,984.481,48.397,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,1,1024,1,44.0186,983.678,48.22,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,1,2048,1,44.0186,983.527,48.37,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,1,4096,1,44.0186,985.27,48.297,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,1,8192,1,44.0186,983.185,48.348,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,2,1,1,44.0186,983.552,48.391,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,2,2,1,44.0186,978.386,48.936,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,2,4,1,44.0186,980.872,48.673,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,2,8,1,44.0186,977.923,48.214,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,2,16,1,44.0186,981.399,47.994,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,2,32,1,44.0186,982.708,48.096,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,2,64,1,44.0186,1205.62,47.762,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,2,128,1,44.0186,983.656,47.744,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,2,256,1,44.0186,984.308,47.771,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,2,512,1,44.0186,980.962,47.15,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,2,1024,1,44.0186,977.835,48.07,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,2,2048,1,44.0186,981.974,47.986,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,2,4096,1,44.0186,982.041,47.925,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,4,1,1,44.0186,986.571,48.09,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,4,2,1,44.0186,983.754,47.938,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,4,4,1,44.0186,984.969,48.053,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,4,8,1,44.0186,984.026,48.167,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,4,16,1,44.0186,983.898,48.13,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,4,32,1,44.0186,988.741,48.065,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,4,64,1,44.0186,982.142,48.009,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,4,128,1,44.0186,984.136,48.283,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,4,256,1,44.0186,983.206,47.154,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,4,512,1,44.0186,987.004,47.782,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,4,1024,1,44.0186,984.048,47.787,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,4,2048,1,44.0186,985.62,47.788,0.007,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,8,1,1,44.0186,984.219,47.855,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,8,2,1,44.0186,980.305,47.837,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,8,4,1,44.0186,980.738,48.367,0.008,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,8,8,1,44.0186,985.668,48.106,0.009,-1,-1,-1
Intel Xeon Phi coprocessor x100 family,MonteCarloAsian,TWO_D,1201,2402,4,8,16,1,44.0186,985.243,48.088,0.008,-1,-1,-1
