device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,6.29146e+06,1,1,1,24,256.634,10.675,0.008,34.674,24.851,2.341
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,6.29146e+06,2,1,1,24,249.128,12.716,0.009,28.015,21.341,1.993
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,6.29146e+06,4,1,1,24,253.932,12.667,0.009,21.6,29.769,2.223
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,6.29146e+06,8,1,1,24,253.417,13.223,0.009,19.712,21.39,1.99
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,6.29146e+06,16,1,1,24,253.589,12.921,0.009,21.026,30.439,2.081
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,6.29146e+06,32,1,1,24,250.733,12.474,0.009,26.162,13.636,1.937
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,6.29146e+06,64,1,1,24,256.656,12.737,0.009,27.368,12.4,2.087
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,6.29146e+06,128,1,1,24,248.915,12.556,0.009,23.289,12.992,2.195
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,6.29146e+06,256,1,1,24,257.492,13.182,0.009,26.173,12.883,1.775
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,6.29146e+06,512,1,1,24,256.726,13.37,0.01,23.633,14.463,2.346
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,6.29146e+06,1024,1,1,24,256.667,12.592,0.008,23.964,13.426,2.362
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,6.29146e+06,2048,1,1,24,257.549,13.171,0.01,29.377,14.436,1.853
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,6.29146e+06,4096,1,1,24,249.785,12.77,0.009,25.892,13.698,2.823
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,6.29146e+06,8192,1,1,24,261.942,13.238,0.009,23.348,15.598,2.666
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,6.29146e+06,1,1,1,24,326.377,15.046,0.01,36.495,12.419,1.835
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,6.29146e+06,2,1,1,24,329.784,36.284,0.01,31.582,29.222,1.529
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,6.29146e+06,4,1,1,24,321.137,13.671,0.01,24.933,20.335,1.506
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,6.29146e+06,8,1,1,24,325.68,13.77,0.009,20.705,11.723,1.773
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,6.29146e+06,16,1,1,24,252.165,12.706,0.008,18.832,29.436,1.805
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,6.29146e+06,32,1,1,24,248.302,12.908,0.023,20.552,26.459,1.238
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,6.29146e+06,64,1,1,24,249.111,12.108,0.007,28.153,12.371,1.403
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,6.29146e+06,128,1,1,24,250.965,12.023,0.024,18.757,9.859,1.643
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,6.29146e+06,256,1,1,24,271.338,28.165,0.008,50.305,6.93,1.295
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,6.29146e+06,512,1,1,24,249.098,12.611,0.009,23.986,12.498,1.625
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,6.29146e+06,1024,1,1,24,258.922,32.781,0.008,26.976,9.68,1.196
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,6.29146e+06,2048,1,1,24,256.021,12.357,0.024,24.237,10.103,1.189
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,6.29146e+06,4096,1,1,24,251.109,12.417,0.023,20.901,11.331,1.628
Intel Xeon Phi coprocessor x100 family,VectorAdd,ONE_D,6.29146e+06,8192,1,1,24,248.8,12.284,0.023,28.42,9.867,1.902
