device/C,kernel/C,workDimension/C,cubeLength/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,Array3dAverage,THREE_D,144,1,1,4,11.3906,100.17,3.773,0.001,10.22,4.073,0.152
GTX 780,Array3dAverage,THREE_D,144,1,1,8,11.3906,100.324,3.793,0.001,6.219,4.176,0.154
GTX 780,Array3dAverage,THREE_D,144,1,1,16,11.3906,100.202,3.842,0.001,4.56,4.156,0.151
GTX 780,Array3dAverage,THREE_D,144,8,8,8,11.3906,105.551,3.819,0,0.708,4.102,0.151
GTX 780,Array3dAverage,THREE_D,144,8,8,8,11.3906,100.287,3.802,0,0.705,4.112,0.157
GTX 780,Array3dAverage,THREE_D,144,8,8,8,11.3906,100.357,3.899,0.001,0.706,4.112,0.15
GTX 780,Array3dAverage,THREE_D,144,8,8,8,11.3906,100.212,3.8,0,0.706,4.133,0.15
GTX 780,Array3dAverage,THREE_D,144,1,2,4,11.3906,100.206,3.804,0.001,6.207,4.112,0.151
GTX 780,Array3dAverage,THREE_D,144,1,2,8,11.3906,100.244,3.796,0,4.543,4.119,0.156
GTX 780,Array3dAverage,THREE_D,144,1,2,16,11.3906,100.387,3.841,0,4.197,4.104,0.15
GTX 780,Array3dAverage,THREE_D,144,8,8,8,11.3906,105.188,3.804,0,0.706,4.104,0.15
GTX 780,Array3dAverage,THREE_D,144,8,8,8,11.3906,100.24,3.839,0.001,0.706,4.098,0.15
GTX 780,Array3dAverage,THREE_D,144,8,8,8,11.3906,100.244,3.806,0.001,0.705,4.139,0.15
GTX 780,Array3dAverage,THREE_D,144,1,4,1,11.3906,100.171,3.815,0,9.778,4.117,0.151
GTX 780,Array3dAverage,THREE_D,144,1,4,2,11.3906,100.286,3.786,0.001,6.193,4.107,0.154
GTX 780,Array3dAverage,THREE_D,144,1,4,4,11.3906,100.241,3.8,0,4.546,4.112,0.154
GTX 780,Array3dAverage,THREE_D,144,1,4,8,11.3906,100.786,3.792,0.001,4.193,4.167,0.18
GTX 780,Array3dAverage,THREE_D,144,1,4,16,11.3906,100.831,3.795,0,4.124,4.099,0.151
GTX 780,Array3dAverage,THREE_D,144,8,8,8,11.3906,105.165,3.812,0,0.705,4.106,0.154
GTX 780,Array3dAverage,THREE_D,144,8,8,8,11.3906,100.246,3.805,0,0.705,4.103,0.151
GTX 780,Array3dAverage,THREE_D,144,1,8,1,11.3906,100.163,3.801,0,6.04,4.107,0.151
GTX 780,Array3dAverage,THREE_D,144,1,8,2,11.3906,100.28,3.792,0,4.539,4.1,0.148
GTX 780,Array3dAverage,THREE_D,144,1,8,4,11.3906,100.209,3.787,0,4.19,4.108,0.151
GTX 780,Array3dAverage,THREE_D,144,1,8,8,11.3906,100.292,3.794,0.001,4.124,4.143,0.152
GTX 780,Array3dAverage,THREE_D,144,1,8,16,11.3906,100.636,3.862,0.001,4.127,4.154,0.153
GTX 780,Array3dAverage,THREE_D,144,8,8,8,11.3906,105.185,3.792,0,0.706,4.168,0.155
GTX 780,Array3dAverage,THREE_D,144,1,16,1,11.3906,100.206,3.785,0.001,4.503,4.136,0.15
GTX 780,Array3dAverage,THREE_D,144,1,16,2,11.3906,100.658,3.832,0.001,4.189,4.102,0.15
GTX 780,Array3dAverage,THREE_D,144,1,16,4,11.3906,100.411,3.826,0.001,4.124,4.139,0.151
GTX 780,Array3dAverage,THREE_D,144,1,16,8,11.3906,100.403,3.777,0,4.124,4.098,0.156
GTX 780,Array3dAverage,THREE_D,144,1,16,16,11.3906,100.241,3.796,0.001,4.146,4.107,0.15
GTX 780,Array3dAverage,THREE_D,144,2,1,4,11.3906,100.169,3.782,0,5.126,4.064,0.151
GTX 780,Array3dAverage,THREE_D,144,2,1,8,11.3906,100.317,3.795,0.001,3.114,4.091,0.15
GTX 780,Array3dAverage,THREE_D,144,2,1,16,11.3906,100.17,3.784,0,2.385,4.137,0.149
GTX 780,Array3dAverage,THREE_D,144,8,8,8,11.3906,105.676,3.788,0,0.711,4.138,0.151
GTX 780,Array3dAverage,THREE_D,144,8,8,8,11.3906,100.24,3.827,0,0.707,4.108,0.154
GTX 780,Array3dAverage,THREE_D,144,8,8,8,11.3906,100.356,3.841,0,0.705,4.14,0.15
GTX 780,Array3dAverage,THREE_D,144,2,2,4,11.3906,100.244,3.862,0.001,3.114,4.071,0.154
GTX 780,Array3dAverage,THREE_D,144,2,2,8,11.3906,100.291,3.787,0.001,2.375,4.1,0.152
GTX 780,Array3dAverage,THREE_D,144,2,2,16,11.3906,100.249,3.8,0.001,2.165,4.097,0.149
GTX 780,Array3dAverage,THREE_D,144,8,8,8,11.3906,105.038,3.8,0,0.706,4.107,0.15
GTX 780,Array3dAverage,THREE_D,144,8,8,8,11.3906,100.399,3.799,0,0.706,4.097,0.149
GTX 780,Array3dAverage,THREE_D,144,2,4,1,11.3906,100.321,3.797,0,4.995,4.105,0.153
GTX 780,Array3dAverage,THREE_D,144,2,4,2,11.3906,100.251,3.795,0.001,3.117,4.105,0.149
GTX 780,Array3dAverage,THREE_D,144,2,4,4,11.3906,100.165,3.799,0.001,2.372,4.144,0.153
GTX 780,Array3dAverage,THREE_D,144,2,4,8,11.3906,100.314,3.783,0.001,2.163,4.111,0.15
GTX 780,Array3dAverage,THREE_D,144,2,4,16,11.3906,100.21,3.795,0,2.167,4.106,0.149
GTX 780,Array3dAverage,THREE_D,144,8,8,8,11.3906,105.616,3.792,0,0.706,4.122,0.152
GTX 780,Array3dAverage,THREE_D,144,2,8,1,11.3906,100.24,3.829,0.001,3.121,4.104,0.151
GTX 780,Array3dAverage,THREE_D,144,2,8,2,11.3906,100.355,3.826,0.001,2.359,4.105,0.15
GTX 780,Array3dAverage,THREE_D,144,2,8,4,11.3906,100.245,3.808,0,2.16,4.112,0.15
GTX 780,Array3dAverage,THREE_D,144,2,8,8,11.3906,100.281,3.836,0.001,2.166,4.141,0.15
GTX 780,Array3dAverage,THREE_D,144,2,8,16,11.3906,100.159,3.808,0,2.184,4.137,0.15
GTX 780,Array3dAverage,THREE_D,144,2,16,1,11.3906,105.066,3.806,0.001,2.359,4.103,0.15
GTX 780,Array3dAverage,THREE_D,144,2,16,2,11.3906,100.278,3.81,0,2.162,4.229,0.15
GTX 780,Array3dAverage,THREE_D,144,2,16,4,11.3906,100.611,3.793,0.001,2.167,4.109,0.15
GTX 780,Array3dAverage,THREE_D,144,2,16,8,11.3906,100.351,3.831,0.001,2.182,4.143,0.15
GTX 780,Array3dAverage,THREE_D,144,2,16,16,11.3906,100.354,3.789,0.001,2.196,4.101,0.149
GTX 780,Array3dAverage,THREE_D,144,4,1,1,11.3906,105.299,3.811,0.001,7.994,4.109,0.161
GTX 780,Array3dAverage,THREE_D,144,4,1,2,11.3906,100.166,3.801,0,4.643,4.1,0.157
GTX 780,Array3dAverage,THREE_D,144,4,1,4,11.3906,100.355,3.801,0,2.639,4.103,0.165
GTX 780,Array3dAverage,THREE_D,144,4,1,8,11.3906,100.213,3.807,0,1.64,4.108,0.162
GTX 780,Array3dAverage,THREE_D,144,4,1,16,11.3906,100.247,3.83,0.001,1.191,4.099,0.15
GTX 780,Array3dAverage,THREE_D,144,8,8,8,11.3906,105.086,3.839,0.001,0.705,4.141,0.151
GTX 780,Array3dAverage,THREE_D,144,8,8,8,11.3906,100.355,3.842,0,0.707,4.139,0.151
GTX 780,Array3dAverage,THREE_D,144,4,2,1,11.3906,100.247,3.797,0.001,4.506,4.1,0.15
GTX 780,Array3dAverage,THREE_D,144,4,2,2,11.3906,100.246,3.835,0.001,2.61,4.111,0.151
GTX 780,Array3dAverage,THREE_D,144,4,2,4,11.3906,100.168,3.809,0,1.654,4.152,0.151
GTX 780,Array3dAverage,THREE_D,144,4,2,8,11.3906,100.325,3.839,0.001,1.184,4.171,0.162
GTX 780,Array3dAverage,THREE_D,144,4,2,16,11.3906,100.239,3.795,0,1.201,4.105,0.149
GTX 780,Array3dAverage,THREE_D,144,8,8,8,11.3906,105.207,3.834,0,0.707,4.143,0.151
GTX 780,Array3dAverage,THREE_D,144,4,4,1,11.3906,100.285,3.821,0,2.571,4.106,0.156
GTX 780,Array3dAverage,THREE_D,144,4,4,2,11.3906,100.358,3.829,0,1.635,4.114,0.15
GTX 780,Array3dAverage,THREE_D,144,4,4,4,11.3906,100.244,3.806,0,1.175,4.115,0.15
GTX 780,Array3dAverage,THREE_D,144,4,4,8,11.3906,100.166,3.8,0,1.198,4.111,0.155
GTX 780,Array3dAverage,THREE_D,144,4,4,16,11.3906,100.239,3.815,0,1.206,4.106,0.15
GTX 780,Array3dAverage,THREE_D,144,4,8,1,11.3906,105.058,3.806,0.001,1.636,4.137,0.151
GTX 780,Array3dAverage,THREE_D,144,4,8,2,11.3906,100.471,3.803,0,1.178,4.106,0.156
GTX 780,Array3dAverage,THREE_D,144,4,8,4,11.3906,100.168,3.798,0.001,1.201,4.097,0.152
GTX 780,Array3dAverage,THREE_D,144,4,8,8,11.3906,100.363,3.804,0.001,1.207,4.104,0.15
GTX 780,Array3dAverage,THREE_D,144,4,8,16,11.3906,100.319,3.796,0.001,1.225,4.111,0.15
GTX 780,Array3dAverage,THREE_D,144,4,16,1,11.3906,104.986,3.79,0,1.172,4.107,0.149
GTX 780,Array3dAverage,THREE_D,144,4,16,2,11.3906,100.243,3.798,0,1.201,4.143,0.15
GTX 780,Array3dAverage,THREE_D,144,4,16,4,11.3906,100.207,3.779,0,1.207,4.102,0.151
GTX 780,Array3dAverage,THREE_D,144,4,16,8,11.3906,100.278,3.824,0,1.23,4.102,0.15
GTX 780,Array3dAverage,THREE_D,144,4,16,16,11.3906,101.186,3.84,0.001,1.252,4.152,0.158
GTX 780,Array3dAverage,THREE_D,144,8,1,1,11.3906,105.037,3.798,0.001,4.075,4.144,0.152
GTX 780,Array3dAverage,THREE_D,144,8,1,2,11.3906,100.243,3.823,0.001,2.395,4.103,0.15
GTX 780,Array3dAverage,THREE_D,144,8,1,4,11.3906,100.421,3.786,0,1.392,4.175,0.15
GTX 780,Array3dAverage,THREE_D,144,8,1,8,11.3906,100.323,3.843,0,0.809,4.106,0.151
GTX 780,Array3dAverage,THREE_D,144,8,1,16,11.3906,100.356,3.783,0.001,0.72,4.098,0.15
GTX 780,Array3dAverage,THREE_D,144,8,8,8,11.3906,105.468,3.851,0.001,0.721,4.109,0.15
GTX 780,Array3dAverage,THREE_D,144,8,2,1,11.3906,100.322,3.842,0,2.323,4.123,0.154
GTX 780,Array3dAverage,THREE_D,144,8,2,2,11.3906,100.53,3.79,0.001,1.393,4.116,0.15
GTX 780,Array3dAverage,THREE_D,144,8,2,4,11.3906,100.242,3.796,0.001,0.806,4.11,0.149
GTX 780,Array3dAverage,THREE_D,144,8,2,8,11.3906,100.739,3.783,0.001,0.706,4.11,0.154
GTX 780,Array3dAverage,THREE_D,144,8,2,16,11.3906,100.955,3.798,0.001,0.71,4.112,0.151
GTX 780,Array3dAverage,THREE_D,144,8,4,1,11.3906,105.257,3.799,0.001,1.358,4.139,0.15
GTX 780,Array3dAverage,THREE_D,144,8,4,2,11.3906,100.247,3.795,0,0.796,4.122,0.167
GTX 780,Array3dAverage,THREE_D,144,8,4,4,11.3906,100.167,3.808,0,0.708,4.104,0.149
GTX 780,Array3dAverage,THREE_D,144,8,4,8,11.3906,100.245,3.799,0,0.715,4.096,0.149
GTX 780,Array3dAverage,THREE_D,144,8,4,16,11.3906,100.246,3.799,0.001,0.708,4.106,0.149
GTX 780,Array3dAverage,THREE_D,144,8,8,1,11.3906,104.96,3.793,0.001,0.797,4.106,0.149
