device/C,kernel/C,workDimension/C,width/F,height/F,maskwidth/F,maskheight/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,Convolution,ONE_D,1773,1773,64,64,1,1,1,11,60.746,8.405,0.002,12108.9,2.959,0.181
GTX 780,Convolution,ONE_D,1773,1773,64,64,2,1,1,11,60.309,8.379,0.001,-1,-1,-1
GTX 780,Convolution,ONE_D,1773,1773,64,64,4,1,1,11,60.393,8.368,0.001,-1,-1,-1
GTX 780,Convolution,ONE_D,1773,1773,64,64,8,1,1,11,60.18,8.331,0.001,-1,-1,-1
GTX 780,Convolution,ONE_D,1773,1773,64,64,16,1,1,11,60.157,8.399,0.001,-1,-1,-1
GTX 780,Convolution,ONE_D,1773,1773,64,64,32,1,1,11,60.275,8.393,0.001,-1,-1,-1
GTX 780,Convolution,ONE_D,1773,1773,64,64,64,1,1,11,60.175,8.383,0.001,-1,-1,-1
GTX 780,Convolution,ONE_D,1773,1773,64,64,128,1,1,11,60.182,8.359,0.001,-1,-1,-1
GTX 780,Convolution,ONE_D,1773,1773,64,64,256,1,1,11,60.235,8.344,0.001,-1,-1,-1
GTX 780,Convolution,ONE_D,1773,1773,64,64,512,1,1,11,60.16,8.332,0.001,-1,-1,-1
GTX 780,Convolution,ONE_D,1773,1773,64,64,1024,1,1,11,60.107,8.329,0.001,-1,-1,-1
GTX 780,Convolution,ONE_D,1773,1773,64,64,1,1,1,11,61.034,8.402,0.001,12090.8,3.469,0.22
GTX 780,Convolution,ONE_D,1773,1773,64,64,2,1,1,11,60.929,8.441,0.002,-1,-1,-1
GTX 780,Convolution,ONE_D,1773,1773,64,64,4,1,1,11,60.34,8.332,0,-1,-1,-1
GTX 780,Convolution,ONE_D,1773,1773,64,64,8,1,1,11,60.231,8.339,0.001,-1,-1,-1
GTX 780,Convolution,ONE_D,1773,1773,64,64,16,1,1,11,60.111,8.334,0.001,-1,-1,-1
GTX 780,Convolution,ONE_D,1773,1773,64,64,32,1,1,11,60.206,8.334,0.001,-1,-1,-1
GTX 780,Convolution,ONE_D,1773,1773,64,64,64,1,1,11,60.244,8.324,0.001,-1,-1,-1
GTX 780,Convolution,ONE_D,1773,1773,64,64,128,1,1,11,60.222,8.372,0.001,-1,-1,-1
GTX 780,Convolution,ONE_D,1773,1773,64,64,256,1,1,11,60.125,8.328,0.001,-1,-1,-1
GTX 780,Convolution,ONE_D,1773,1773,64,64,512,1,1,11,60.346,8.411,0.001,-1,-1,-1
GTX 780,Convolution,ONE_D,1773,1773,64,64,1024,1,1,11,60.239,8.336,0.002,-1,-1,-1
GTX 780,Convolution,ONE_D,1773,1773,64,64,1,1,1,11,61.101,8.564,0.001,12104.3,3.451,0.192
GTX 780,Convolution,ONE_D,1773,1773,64,64,2,1,1,11,60.582,8.448,0.001,-1,-1,-1
GTX 780,Convolution,ONE_D,1773,1773,64,64,4,1,1,11,60.376,8.466,0.001,-1,-1,-1
GTX 780,Convolution,ONE_D,1773,1773,64,64,8,1,1,11,60.591,8.413,0.006,-1,-1,-1
GTX 780,Convolution,ONE_D,1773,1773,64,64,16,1,1,11,60.96,8.405,0.001,-1,-1,-1
GTX 780,Convolution,ONE_D,1773,1773,64,64,32,1,1,11,60.246,8.467,0.001,-1,-1,-1
GTX 780,Convolution,ONE_D,1773,1773,64,64,64,1,1,11,60.244,8.426,0.001,-1,-1,-1
