device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,Memory,ONE_D,1.34218e+08,1,1,1,512,2646.52,356.778,0.004,408.333,266.5,2.471
GTX 780,Memory,ONE_D,1.34218e+08,2,1,1,512,2646.32,356.944,0.003,210.527,266.777,2.479
GTX 780,Memory,ONE_D,1.34218e+08,4,1,1,512,2649.24,357.12,0.003,98.979,266.838,2.458
GTX 780,Memory,ONE_D,1.34218e+08,8,1,1,512,2646.33,357.388,0.004,48.57,266.638,2.454
GTX 780,Memory,ONE_D,1.34218e+08,16,1,1,512,2646.4,356.973,0.003,24.622,266.545,2.475
GTX 780,Memory,ONE_D,1.34218e+08,32,1,1,512,2648.15,356.816,0.004,12.929,266.869,2.493
GTX 780,Memory,ONE_D,1.34218e+08,64,1,1,512,2652.86,357.784,0.004,7.671,266.665,2.505
GTX 780,Memory,ONE_D,1.34218e+08,128,1,1,512,2646.94,356.978,0.003,5.667,266.704,2.441
GTX 780,Memory,ONE_D,1.34218e+08,256,1,1,512,2648.08,356.759,0.004,5.779,266.858,2.472
GTX 780,Memory,ONE_D,1.34218e+08,512,1,1,512,2647.1,357.791,0.003,5.818,267.76,2.467
GTX 780,Memory,ONE_D,1.34218e+08,1024,1,1,512,2646.72,357.157,0.004,5.808,266.528,2.503
