device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,SquareArray,ONE_D,6.29146e+06,1,1,1,24,141.353,8.114,0.001,18.709,12.043,0.217
GTX 780,SquareArray,ONE_D,6.29146e+06,2,1,1,24,137.117,8.071,0.001,9.435,7.854,0.181
GTX 780,SquareArray,ONE_D,6.29146e+06,4,1,1,24,135.815,8.009,0.001,4.772,7.852,0.178
GTX 780,SquareArray,ONE_D,6.29146e+06,8,1,1,24,135.991,8.075,0.001,2.424,7.906,0.176
GTX 780,SquareArray,ONE_D,6.29146e+06,16,1,1,24,135.619,8.067,0.001,1.282,7.821,0.176
GTX 780,SquareArray,ONE_D,6.29146e+06,32,1,1,24,135.781,8.045,0.002,0.731,7.814,0.175
GTX 780,SquareArray,ONE_D,6.29146e+06,64,1,1,24,135.775,8.003,0.001,0.468,7.831,0.173
GTX 780,SquareArray,ONE_D,6.29146e+06,128,1,1,24,136.226,8.018,0.002,0.379,7.919,0.175
GTX 780,SquareArray,ONE_D,6.29146e+06,256,1,1,24,135.891,7.987,0.002,0.385,7.822,0.175
GTX 780,SquareArray,ONE_D,6.29146e+06,512,1,1,24,135.847,7.988,0,0.383,7.823,0.175
GTX 780,SquareArray,ONE_D,6.29146e+06,1024,1,1,24,135.845,8.012,0.001,0.389,7.854,0.177
GTX 780,SquareArray,ONE_D,6.29146e+06,1,1,1,24,136.505,7.958,0.001,20.764,8.965,0.186
GTX 780,SquareArray,ONE_D,6.29146e+06,2,1,1,24,135.817,7.942,0.001,10.454,8.567,0.176
GTX 780,SquareArray,ONE_D,6.29146e+06,4,1,1,24,135.672,7.921,0.001,5.27,8.596,0.175
GTX 780,SquareArray,ONE_D,6.29146e+06,8,1,1,24,135.606,7.942,0.001,2.675,8.575,0.172
GTX 780,SquareArray,ONE_D,6.29146e+06,16,1,1,24,138.084,8.113,0.001,1.41,8.595,0.182
GTX 780,SquareArray,ONE_D,6.29146e+06,32,1,1,24,135.951,7.922,0.001,0.789,8.617,0.178
GTX 780,SquareArray,ONE_D,6.29146e+06,64,1,1,24,135.849,7.968,0.001,0.499,8.604,0.183
GTX 780,SquareArray,ONE_D,6.29146e+06,128,1,1,24,135.577,7.964,0.001,0.378,8.584,0.173
GTX 780,SquareArray,ONE_D,6.29146e+06,256,1,1,24,135.772,7.968,0,0.405,8.614,0.172
GTX 780,SquareArray,ONE_D,6.29146e+06,512,1,1,24,135.858,7.978,0.001,0.388,8.569,0.172
