device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
GTX 780,VectorAdd,ONE_D,4.1943e+06,1,1,1,16,182.278,11.062,0.002,12.84,8.295,0.253
GTX 780,VectorAdd,ONE_D,4.1943e+06,2,1,1,16,183.015,11.002,0.001,6.497,5.703,0.255
GTX 780,VectorAdd,ONE_D,4.1943e+06,4,1,1,16,182.819,10.975,0.003,3.303,5.722,0.249
GTX 780,VectorAdd,ONE_D,4.1943e+06,8,1,1,16,182.893,11.051,0.002,1.725,5.706,0.25
GTX 780,VectorAdd,ONE_D,4.1943e+06,16,1,1,16,184.003,11.018,0.002,0.94,5.74,0.252
GTX 780,VectorAdd,ONE_D,4.1943e+06,32,1,1,16,183.092,11.029,0.002,0.562,5.748,0.249
GTX 780,VectorAdd,ONE_D,4.1943e+06,64,1,1,16,182.901,10.983,0.001,0.44,5.742,0.251
GTX 780,VectorAdd,ONE_D,4.1943e+06,128,1,1,16,182.654,10.99,0.001,0.36,5.75,0.255
GTX 780,VectorAdd,ONE_D,4.1943e+06,256,1,1,16,182.821,11.006,0.002,0.37,5.754,0.248
GTX 780,VectorAdd,ONE_D,4.1943e+06,512,1,1,16,183.178,10.995,0.002,0.369,5.741,0.249
GTX 780,VectorAdd,ONE_D,4.1943e+06,1024,1,1,16,182.682,11.036,0.001,0.373,5.735,0.252
GTX 780,VectorAdd,ONE_D,4.1943e+06,1,1,1,16,182.23,10.981,0.002,12.858,8.356,0.255
GTX 780,VectorAdd,ONE_D,4.1943e+06,2,1,1,16,183.452,11.013,0.001,6.522,5.719,0.253
GTX 780,VectorAdd,ONE_D,4.1943e+06,4,1,1,16,182.935,11.012,0.002,3.312,5.725,0.253
GTX 780,VectorAdd,ONE_D,4.1943e+06,8,1,1,16,182.956,11.031,0.002,1.727,5.713,0.25
GTX 780,VectorAdd,ONE_D,4.1943e+06,16,1,1,16,182.93,11.002,0.002,0.942,5.722,0.252
GTX 780,VectorAdd,ONE_D,4.1943e+06,32,1,1,16,182.819,11.121,0.002,0.566,5.807,0.252
GTX 780,VectorAdd,ONE_D,4.1943e+06,64,1,1,16,184.568,11.012,0.001,0.435,5.731,0.252
GTX 780,VectorAdd,ONE_D,4.1943e+06,128,1,1,16,182.854,11.016,0.002,0.366,5.716,0.256
GTX 780,VectorAdd,ONE_D,4.1943e+06,256,1,1,16,182.686,10.999,0.002,0.372,5.733,0.251
GTX 780,VectorAdd,ONE_D,4.1943e+06,512,1,1,16,182.591,10.982,0.003,0.37,5.739,0.257
GTX 780,VectorAdd,ONE_D,4.1943e+06,1024,1,1,16,182.875,10.993,0.003,0.374,5.739,0.251
GTX 780,VectorAdd,ONE_D,4.1943e+06,1,1,1,16,182.158,11.164,0.002,12.845,8.064,0.255
GTX 780,VectorAdd,ONE_D,4.1943e+06,2,1,1,16,183.38,12.672,0.002,6.512,5.221,0.258
GTX 780,VectorAdd,ONE_D,4.1943e+06,4,1,1,16,183.761,11.107,0.003,3.307,5.226,0.256
GTX 780,VectorAdd,ONE_D,4.1943e+06,8,1,1,16,184.434,11.199,0.002,1.723,5.318,0.255
GTX 780,VectorAdd,ONE_D,4.1943e+06,16,1,1,16,184.249,11.114,0.001,0.94,5.238,0.254
GTX 780,VectorAdd,ONE_D,4.1943e+06,32,1,1,16,183.621,11.119,0.002,0.568,5.238,0.256
GTX 780,VectorAdd,ONE_D,4.1943e+06,64,1,1,16,183.817,11.129,0.002,0.437,5.23,0.249
GTX 780,VectorAdd,ONE_D,4.1943e+06,128,1,1,16,183.706,11.124,0.003,0.364,5.228,0.25
GTX 780,VectorAdd,ONE_D,4.1943e+06,256,1,1,16,183.457,11.178,0.002,0.368,5.22,0.256
GTX 780,VectorAdd,ONE_D,4.1943e+06,512,1,1,16,183.539,11.111,0.002,0.37,5.227,0.251
GTX 780,VectorAdd,ONE_D,4.1943e+06,1024,1,1,16,183.68,11.123,0.001,0.375,5.229,0.252
GTX 780,VectorAdd,ONE_D,4.1943e+06,1,1,1,16,183.066,11.081,0.002,12.829,8.381,0.256
GTX 780,VectorAdd,ONE_D,4.1943e+06,2,1,1,16,184.048,11.031,0.002,6.51,5.806,0.254
GTX 780,VectorAdd,ONE_D,4.1943e+06,4,1,1,16,183.443,11.008,0.002,3.308,5.737,0.255
GTX 780,VectorAdd,ONE_D,4.1943e+06,8,1,1,16,183.635,11.165,0.002,1.728,5.712,0.253
GTX 780,VectorAdd,ONE_D,4.1943e+06,16,1,1,16,183.626,11.118,0.002,0.944,5.717,0.25
GTX 780,VectorAdd,ONE_D,4.1943e+06,32,1,1,16,184.66,11.154,0.002,0.572,5.723,0.254
GTX 780,VectorAdd,ONE_D,4.1943e+06,64,1,1,16,183.958,11.11,0.002,0.439,5.722,0.253
GTX 780,VectorAdd,ONE_D,4.1943e+06,128,1,1,16,183.36,11.098,0.002,0.365,5.737,0.253
GTX 780,VectorAdd,ONE_D,4.1943e+06,256,1,1,16,183.632,11.031,0.002,0.37,5.772,0.25
GTX 780,VectorAdd,ONE_D,4.1943e+06,512,1,1,16,183.725,11.015,0.003,0.373,5.722,0.252
GTX 780,VectorAdd,ONE_D,4.1943e+06,1024,1,1,16,183.653,11.026,0.002,0.376,5.708,0.252
GTX 780,VectorAdd,ONE_D,4.1943e+06,1,1,1,16,183.164,11.371,0.003,12.841,8.335,0.26
GTX 780,VectorAdd,ONE_D,4.1943e+06,2,1,1,16,183.902,11.218,0.002,6.501,5.277,0.264
GTX 780,VectorAdd,ONE_D,4.1943e+06,4,1,1,16,183.428,11.207,0.002,3.307,5.28,0.258
GTX 780,VectorAdd,ONE_D,4.1943e+06,8,1,1,16,183.24,11.223,0.002,1.725,5.277,0.256
