device/C,kernel/C,workDimension/C,cubeLength/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,Array3dAverage,THREE_D,192,1,1,4,27,253.67,9.258,0.002,28.355,13.57,0.227
Tesla K20Xm,Array3dAverage,THREE_D,192,1,1,8,27,245.019,9.039,0.002,17.321,9.662,0.204
Tesla K20Xm,Array3dAverage,THREE_D,192,1,1,16,27,243.097,9.124,0.002,12.386,9.677,0.207
Tesla K20Xm,Array3dAverage,THREE_D,192,1,1,32,27,242.906,9.104,0.001,11.843,9.673,0.214
Tesla K20Xm,Array3dAverage,THREE_D,192,1,1,64,27,242.954,9.021,0.001,13.772,9.682,0.225
Tesla K20Xm,Array3dAverage,THREE_D,192,8,8,8,27,242.314,9.014,0.001,1.986,9.653,0.205
Tesla K20Xm,Array3dAverage,THREE_D,192,8,8,8,27,242.273,9.039,0.002,1.984,9.705,0.211
Tesla K20Xm,Array3dAverage,THREE_D,192,8,8,8,27,245.024,9.073,0.002,1.985,9.687,0.215
Tesla K20Xm,Array3dAverage,THREE_D,192,8,8,8,27,243.495,9.028,0.002,1.963,9.653,0.203
Tesla K20Xm,Array3dAverage,THREE_D,192,1,2,4,27,251.029,9.076,0.002,17.237,13.443,0.25
Tesla K20Xm,Array3dAverage,THREE_D,192,1,2,8,27,246.08,9.131,0.001,12.557,9.653,0.203
Tesla K20Xm,Array3dAverage,THREE_D,192,1,2,16,27,244.122,9.062,0.002,11.469,9.68,0.209
Tesla K20Xm,Array3dAverage,THREE_D,192,1,2,32,27,247.693,9.387,0.001,11.242,9.689,0.211
Tesla K20Xm,Array3dAverage,THREE_D,192,1,2,64,27,244.539,9.011,0.001,11.242,9.754,0.207
Tesla K20Xm,Array3dAverage,THREE_D,192,8,8,8,27,242.207,9.102,0.001,1.986,9.671,0.205
Tesla K20Xm,Array3dAverage,THREE_D,192,8,8,8,27,242.201,9.031,0.001,1.975,9.663,0.204
Tesla K20Xm,Array3dAverage,THREE_D,192,8,8,8,27,242.493,9.024,0.001,1.987,9.674,0.225
Tesla K20Xm,Array3dAverage,THREE_D,192,1,4,1,27,242.049,9.037,0.002,27.258,9.664,0.211
Tesla K20Xm,Array3dAverage,THREE_D,192,1,4,2,27,243.27,9.088,0.001,17.191,9.799,0.206
Tesla K20Xm,Array3dAverage,THREE_D,192,1,4,4,27,244.856,9.188,0.001,12.561,9.444,0.225
Tesla K20Xm,Array3dAverage,THREE_D,192,1,4,8,27,244.554,9.053,0.002,11.46,9.718,0.212
Tesla K20Xm,Array3dAverage,THREE_D,192,1,4,16,27,242.086,9.102,0.001,11.238,9.654,0.202
Tesla K20Xm,Array3dAverage,THREE_D,192,1,4,32,27,242.355,9.063,0.002,11.209,9.68,0.208
Tesla K20Xm,Array3dAverage,THREE_D,192,1,4,64,27,242.499,9.111,0.002,11.273,9.667,0.204
Tesla K20Xm,Array3dAverage,THREE_D,192,8,8,8,27,242.192,9.028,0.002,1.988,9.659,0.206
Tesla K20Xm,Array3dAverage,THREE_D,192,8,8,8,27,242.219,9.068,0.001,1.961,9.667,0.205
Tesla K20Xm,Array3dAverage,THREE_D,192,1,8,1,27,242.323,9.092,0.001,16.826,9.664,0.205
Tesla K20Xm,Array3dAverage,THREE_D,192,1,8,2,27,245.825,9.078,0.001,12.544,9.728,0.21
Tesla K20Xm,Array3dAverage,THREE_D,192,1,8,4,27,242.22,9.103,0.001,11.444,9.661,0.211
Tesla K20Xm,Array3dAverage,THREE_D,192,1,8,8,27,243.828,9.08,0.002,11.268,9.662,0.235
Tesla K20Xm,Array3dAverage,THREE_D,192,1,8,16,27,243.339,9.088,0.001,11.213,9.673,0.207
Tesla K20Xm,Array3dAverage,THREE_D,192,1,8,32,27,243.086,9.039,0.001,11.279,9.73,0.213
Tesla K20Xm,Array3dAverage,THREE_D,192,1,8,64,27,241.993,9.026,0.002,11.285,9.886,0.212
Tesla K20Xm,Array3dAverage,THREE_D,192,8,8,8,27,243.64,9.091,0.001,1.969,9.794,1.009
Tesla K20Xm,Array3dAverage,THREE_D,192,1,16,1,27,245.768,9.079,0.002,12.417,9.683,0.216
Tesla K20Xm,Array3dAverage,THREE_D,192,1,16,2,27,243.227,9.074,0.001,11.437,9.642,0.208
Tesla K20Xm,Array3dAverage,THREE_D,192,1,16,4,27,242.115,9.05,0.002,11.242,9.667,0.231
Tesla K20Xm,Array3dAverage,THREE_D,192,1,16,8,27,243.615,9.074,0.002,11.243,9.646,0.22
Tesla K20Xm,Array3dAverage,THREE_D,192,1,16,16,27,246.616,9.097,0.001,11.296,9.724,0.215
Tesla K20Xm,Array3dAverage,THREE_D,192,1,16,32,27,243.35,9.091,0.002,11.296,9.657,0.207
Tesla K20Xm,Array3dAverage,THREE_D,192,1,16,64,27,242.417,9.059,0.002,11.515,9.697,0.206
Tesla K20Xm,Array3dAverage,THREE_D,192,1,32,1,27,243.557,9.221,0.001,11.451,9.786,0.209
Tesla K20Xm,Array3dAverage,THREE_D,192,1,32,2,27,245.36,9.069,0.002,11.221,9.711,0.214
Tesla K20Xm,Array3dAverage,THREE_D,192,1,32,4,27,243.575,9.893,0.002,11.265,9.738,0.218
Tesla K20Xm,Array3dAverage,THREE_D,192,1,32,8,27,263.843,9.139,0.002,11.316,9.662,0.222
Tesla K20Xm,Array3dAverage,THREE_D,192,1,32,16,27,252.578,9.249,0.002,11.321,9.697,0.22
Tesla K20Xm,Array3dAverage,THREE_D,192,1,32,32,27,246.102,9.059,0.002,11.503,9.659,0.216
Tesla K20Xm,Array3dAverage,THREE_D,192,1,64,1,27,242.66,9.044,0.002,11.233,9.741,0.222
Tesla K20Xm,Array3dAverage,THREE_D,192,1,64,2,27,243.461,9.238,0.002,11.259,9.667,0.213
Tesla K20Xm,Array3dAverage,THREE_D,192,1,64,4,27,245.709,9.056,0.002,11.457,9.658,0.207
Tesla K20Xm,Array3dAverage,THREE_D,192,1,64,8,27,242.225,9.06,0.001,11.313,9.648,0.21
Tesla K20Xm,Array3dAverage,THREE_D,192,1,64,16,27,242.159,9.005,0.001,11.432,9.727,0.205
Tesla K20Xm,Array3dAverage,THREE_D,192,2,1,4,27,252.43,9.498,0.002,14.265,13.677,0.238
Tesla K20Xm,Array3dAverage,THREE_D,192,2,1,8,27,248.013,9.111,0.001,8.761,9.703,0.207
Tesla K20Xm,Array3dAverage,THREE_D,192,2,1,16,27,243.844,9.089,0.002,6.601,9.644,0.207
Tesla K20Xm,Array3dAverage,THREE_D,192,2,1,32,27,243.358,9.096,0.002,6.052,9.662,0.207
Tesla K20Xm,Array3dAverage,THREE_D,192,2,1,64,27,243.304,9.084,0.001,7.116,9.65,0.204
Tesla K20Xm,Array3dAverage,THREE_D,192,8,8,8,27,242.933,9.082,0.001,1.965,9.69,0.204
Tesla K20Xm,Array3dAverage,THREE_D,192,8,8,8,27,242.992,9.072,0.002,1.964,9.674,0.204
Tesla K20Xm,Array3dAverage,THREE_D,192,8,8,8,27,243.007,9.055,0.002,1.971,9.72,0.203
Tesla K20Xm,Array3dAverage,THREE_D,192,2,2,4,27,250.781,9.218,0.001,8.751,13.561,0.227
Tesla K20Xm,Array3dAverage,THREE_D,192,2,2,8,27,247.264,9.108,0.001,6.601,9.662,0.206
Tesla K20Xm,Array3dAverage,THREE_D,192,2,2,16,27,245.116,9.035,0.002,5.928,9.7,0.206
Tesla K20Xm,Array3dAverage,THREE_D,192,2,2,32,27,243.156,9.134,0.001,5.921,9.704,0.201
Tesla K20Xm,Array3dAverage,THREE_D,192,2,2,64,27,245.891,9.097,0.002,5.999,9.689,0.205
Tesla K20Xm,Array3dAverage,THREE_D,192,8,8,8,27,246.78,9.075,0.001,1.991,9.73,0.212
Tesla K20Xm,Array3dAverage,THREE_D,192,8,8,8,27,243.986,9.077,0.001,1.967,9.698,0.207
