device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,1,1,1,20,50.597,18.04,0.002,3724.66,7.107,3.104
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,1,2,1,20,52,17.32,0.003,1900.48,10.405,3.15
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,1,4,1,20,51.98,17.315,0.002,1101.93,7.103,3.124
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,1,8,1,20,51.756,17.393,0.002,757.165,7.278,3.086
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,1,16,1,20,51.408,17.194,0.001,530.175,7.273,3.094
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,1,32,1,20,51.387,17.22,0.002,416.893,7.347,3.111
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,1,64,1,20,51.442,17.393,0.002,397.06,7.274,3.096
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,1,128,1,20,51.333,17.245,0.002,354.81,7.268,3.072
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,1,256,1,20,51.353,17.234,0.002,306.154,7.28,3.113
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,1,512,1,20,51.313,17.275,0.001,200.638,7.26,3.111
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,1,1024,1,20,51.378,17.195,0.002,238.987,7.262,3.078
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,2,1,1,20,51.258,17.318,0.002,1900.82,7.119,3.102
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,2,2,1,20,51.354,17.279,0.001,1101.78,7.11,3.195
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,2,4,1,20,51.643,17.256,0.002,757.212,7.315,3.082
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,2,8,1,20,51.298,17.342,0.001,530.248,7.275,3.085
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,2,16,1,20,51.288,17.32,0.002,416.875,7.302,3.196
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,2,32,1,20,51.424,17.489,0.002,397.235,7.298,3.092
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,2,64,1,20,51.432,17.377,0.002,354.908,7.311,3.095
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,2,128,1,20,51.492,17.247,0.002,306.27,7.331,3.089
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,2,256,1,20,51.245,17.318,0.002,200.898,7.264,3.076
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,2,512,1,20,51.262,17.215,0.002,239.066,7.357,3.074
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,4,1,1,20,51.299,17.233,0.002,1102.13,7.308,3.186
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,4,2,1,20,51.547,17.291,0.002,757.492,7.256,3.094
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,4,4,1,20,51.365,17.317,0.002,530.235,7.271,3.112
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,4,8,1,20,51.354,17.204,0.002,416.826,7.366,3.077
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,4,16,1,20,51.423,17.48,0.002,397.13,7.311,3.078
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,4,32,1,20,51.184,17.26,0.002,354.912,7.349,3.092
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,4,64,1,20,51.401,17.398,0.002,306.35,7.256,3.123
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,4,128,1,20,51.332,17.299,0.001,200.867,7.308,3.088
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,4,256,1,20,51.199,17.258,0.001,239.338,7.305,3.087
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,8,1,1,20,51.304,17.346,0.002,757.373,7.26,3.072
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,8,2,1,20,51.523,17.382,0.002,530.272,7.278,3.084
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,8,4,1,20,51.45,17.221,0.002,416.893,7.305,3.08
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,8,8,1,20,51.384,17.218,0.002,397.19,7.38,3.082
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,8,16,1,20,51.317,17.237,0.002,354.817,7.284,3.136
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,8,32,1,20,51.669,17.206,0.002,306.244,7.286,3.072
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,8,64,1,20,51.547,17.241,0.002,200.762,7.372,3.082
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,8,128,1,20,51.288,17.257,0.002,239.038,7.276,3.073
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,16,1,1,20,51.488,17.332,0.002,530.173,7.261,3.097
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,16,2,1,20,51.446,17.234,0.002,416.785,7.296,3.07
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,16,4,1,20,51.454,17.216,0.002,397.195,7.293,3.124
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,16,8,1,20,51.373,17.327,0.002,354.822,7.277,3.091
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,16,16,1,20,51.703,17.212,0.002,306.313,7.297,3.084
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,16,32,1,20,51.774,17.275,0.002,200.704,7.276,3.09
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,16,64,1,20,51.368,17.302,0.002,239.082,7.272,3.063
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,32,1,1,20,51.609,17.409,0.002,416.699,7.256,3.11
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,32,2,1,20,51.478,17.207,0.001,397.457,7.308,3.091
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,32,4,1,20,51.518,17.437,0.002,354.776,7.271,3.136
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,32,8,1,20,51.579,17.314,0.002,306.055,7.302,3.111
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,32,16,1,20,51.464,17.205,0.002,200.931,7.301,3.12
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,32,32,1,20,51.279,17.39,0.002,239.38,7.333,3.117
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,64,1,1,20,51.55,17.292,0.002,397.081,7.262,3.118
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,64,2,1,20,51.224,17.298,0.002,354.76,7.288,3.124
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,64,4,1,20,51.858,17.308,0.002,306.107,7.343,3.133
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,64,8,1,20,51.319,17.291,0.002,200.805,7.254,3.131
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,64,16,1,20,51.255,17.284,0.002,239.268,7.24,3.136
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,128,1,1,20,51.836,17.512,0.002,354.762,7.26,3.131
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,128,2,1,20,51.473,17.221,0.002,306.069,7.257,3.153
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,128,4,1,20,51.45,17.218,0.002,200.873,7.244,3.098
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,128,8,1,20,51.452,17.436,0.002,238.996,7.25,3.109
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,256,1,1,20,51.355,17.245,0.001,306.12,7.388,3.096
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,256,2,1,20,51.34,17.336,0.001,200.814,7.278,3.108
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,256,4,1,20,51.245,17.237,0.002,239.205,7.39,3.136
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,512,1,1,20,51.146,17.402,0.002,200.708,7.264,3.118
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,512,2,1,20,51.269,17.219,0.002,239.114,7.265,3.134
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,1024,1,1,20,51.499,17.797,0.001,238.939,7.254,3.194
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,1,1,1,20,50.273,17.79,0.002,3727.78,7.117,2.983
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,1,2,1,20,51.823,17.175,0.002,1903.24,10.534,3.026
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,1,4,1,20,51.999,17.063,0.002,1104.42,7.223,3.014
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,1,8,1,20,51.455,17.053,0.002,759.887,7.239,3.005
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,1,16,1,20,51.193,17.047,0.002,532.904,7.29,2.988
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,1,32,1,20,51.124,17.003,0.002,419.374,7.264,3.001
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,1,64,1,20,51.256,17.049,0.002,399.695,7.287,3.032
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,1,128,1,20,51.211,17.013,0.002,357.526,7.237,3.016
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,1,256,1,20,51.323,17.019,0.001,308.763,7.242,2.989
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,1,512,1,20,51.121,17.017,0.002,203.456,7.282,3.109
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,1,1024,1,20,51.209,16.987,0.002,241.828,7.245,3.002
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,2,1,1,20,51.294,17.012,0.002,1903.45,7.092,3.009
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,2,2,1,20,51.207,17.035,0.002,1104.53,7.127,2.994
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,2,4,1,20,51.223,17.057,0.002,759.904,7.252,2.995
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,2,8,1,20,51.232,17.025,0.002,532.821,7.239,2.991
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,2,16,1,20,51.149,17.032,0.002,419.2,7.249,3.02
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,2,32,1,20,51.182,17.046,0.002,399.832,7.241,2.996
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,2,64,1,20,51.177,17.009,0.002,357.49,7.237,2.993
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,2,128,1,20,51.245,17.067,0.002,308.682,7.255,2.981
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,2,256,1,20,51.184,17.051,0.002,203.349,7.252,2.992
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,2,512,1,20,51.148,17.046,0.002,241.698,7.247,2.983
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,4,1,1,20,51.143,17.094,0.002,1104.57,7.239,3.009
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,4,2,1,20,51.416,17.008,0.002,760.063,7.252,2.991
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,4,4,1,20,51.235,17.039,0.002,532.706,7.27,2.994
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,4,8,1,20,51.245,17.005,0.002,419.212,7.254,2.995
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,4,16,1,20,51.272,17.034,0.002,399.652,7.248,2.988
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,4,32,1,20,51.215,17.028,0.002,357.363,7.226,2.992
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,4,64,1,20,51.24,17.028,0.002,308.599,7.242,2.998
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,4,128,1,20,51.236,16.986,0.003,203.221,7.239,2.979
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,4,256,1,20,51.266,17.18,0.002,241.748,7.234,2.983
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,8,1,1,20,51.334,17.001,0.002,759.882,7.267,2.99
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,8,2,1,20,51.24,16.998,0.002,532.636,7.251,2.986
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,8,4,1,20,51.22,17.067,0.002,419.476,7.8,3.291
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,8,8,1,20,52.797,17.268,0.002,399.695,7.336,2.991
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,8,16,1,20,51.267,17.006,0.003,357.151,7.316,2.978
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,8,32,1,20,51.331,17.198,0.002,308.662,7.276,3.041
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,8,64,1,20,51.376,17.075,0.002,204.743,7.719,3.019
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,8,128,1,20,51.597,17.134,0.002,241.891,7.236,3.015
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,16,1,1,20,51.254,17.113,0.003,532.811,7.26,2.998
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,16,2,1,20,51.273,17.069,0.003,419.317,7.236,3.015
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,16,4,1,20,51.177,17.088,0.002,399.658,7.323,2.993
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,16,8,1,20,51.556,17.114,0.002,357.51,7.259,3.021
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,16,16,1,20,51.326,17.052,0.002,308.527,7.265,3.008
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,16,32,1,20,51.341,17.113,0.003,203.178,7.227,3.014
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,16,64,1,20,51.144,17.042,0.002,241.753,7.255,3.028
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,32,1,1,20,51.224,17.094,0.002,419.17,7.231,2.992
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,32,2,1,20,51.097,17.119,0.002,399.706,7.326,3.005
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,32,4,1,20,51.262,17.073,0.002,357.301,7.243,3.055
Tesla K20Xm,LUDecomposition,TWO_D,1620,1620,32,8,1,20,51.387,17.028,0.002,308.747,7.24,2.999
