device/C,kernel/C,workDimension/C,N/F,P/F,M/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,1,1,1,4,39.91,3.162,0.001,1149.09,1.6,0.227
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,1,2,1,4,39.606,3.162,0,583.241,1.588,0.225
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,1,4,1,4,39.468,3.145,0,313.76,1.57,0.221
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,1,8,1,4,39.622,3.173,0,256.761,1.621,0.228
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,1,16,1,4,39.919,3.152,0.001,238.154,1.578,0.224
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,1,32,1,4,39.556,3.182,0,228.47,1.571,0.225
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,1,64,1,4,39.48,3.144,0,227.011,1.573,0.221
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,1,128,1,4,39.524,3.149,0.001,227.703,1.581,0.219
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,1,256,1,4,39.577,3.153,0.001,228.066,1.581,0.22
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,1,512,1,4,39.503,3.144,0.001,228.793,1.579,0.219
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,1,1024,1,4,39.895,3.136,0,228.65,1.603,0.236
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,2,1,1,4,39.863,3.145,0.001,586.857,1.61,0.221
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,2,2,1,4,39.424,3.154,0,295.572,1.574,0.221
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,2,4,1,4,39.66,3.145,0,160.715,1.581,0.227
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,2,8,1,4,39.58,3.142,0.001,129.071,1.579,0.219
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,2,16,1,4,39.559,3.146,0.001,119.502,1.574,0.22
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,2,32,1,4,39.524,3.195,0.001,117.413,1.575,0.219
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,2,64,1,4,39.581,3.149,0.001,117.768,1.581,0.219
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,2,128,1,4,39.484,3.146,0.001,118.267,1.618,0.221
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,2,256,1,4,39.704,3.147,0,118.355,1.577,0.22
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,2,512,1,4,39.543,3.154,0.001,118.227,1.582,0.219
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,4,1,1,4,39.577,3.143,0.001,297.289,1.578,0.219
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,4,2,1,4,39.538,3.154,0.001,151.154,1.578,0.22
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,4,4,1,4,39.57,3.148,0.001,83.603,1.577,0.224
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,4,8,1,4,39.719,3.212,0.001,65.486,1.657,0.239
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,4,16,1,4,39.676,3.147,0.001,62.325,1.585,0.224
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,4,32,1,4,39.5,3.152,0,62.464,1.58,0.219
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,4,64,1,4,39.578,3.149,0,62.383,1.583,0.222
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,4,128,1,4,39.474,3.146,0,62.646,1.584,0.218
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,4,256,1,4,39.913,3.185,0,62.543,1.576,0.218
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,8,1,1,4,39.481,3.149,0,148.087,1.585,0.221
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,8,2,1,4,39.529,3.146,0,75.673,1.538,0.22
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,8,4,1,4,39.59,3.138,0.001,42.387,1.585,0.233
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,8,8,1,4,39.462,3.177,0,35.635,1.58,0.219
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,8,16,1,4,39.565,3.145,0.001,35.507,1.578,0.217
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,8,32,1,4,39.556,3.153,0.001,35.357,1.579,0.216
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,8,64,1,4,39.591,3.141,0.001,35.252,1.575,0.223
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,8,128,1,4,39.513,3.127,0,35.194,1.573,0.23
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,16,1,1,4,39.451,3.142,0,73.903,1.624,0.222
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,16,2,1,4,39.518,3.125,0.001,37.639,1.575,0.228
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,16,4,1,4,39.43,3.142,0.001,22.201,1.578,0.239
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,16,8,1,4,39.747,3.136,0.001,22.15,1.573,0.217
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,16,16,1,4,39.56,3.159,0,22.135,1.579,0.227
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,16,32,1,4,39.508,3.14,0.001,21.973,1.572,0.22
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,16,64,1,4,39.602,3.144,0.001,21.481,1.572,0.217
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,32,1,1,4,39.582,3.179,0.001,37.629,1.568,0.22
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,32,2,1,4,39.698,3.183,0.001,20.094,1.603,0.223
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,32,4,1,4,39.741,3.148,0.001,17.133,1.576,0.218
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,32,8,1,4,39.59,3.153,0.001,17.077,1.578,0.225
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,32,16,1,4,39.437,3.185,0.001,17.148,1.576,0.218
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,32,32,1,4,39.614,3.147,0.001,17.288,1.579,0.217
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,64,1,1,4,39.519,3.174,0.001,20.002,1.582,0.222
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,64,2,1,4,39.465,3.127,0,17.149,1.583,0.217
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,64,4,1,4,39.508,3.128,0.001,17.079,1.579,0.222
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,64,8,1,4,39.563,3.135,0.001,17.048,1.575,0.218
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,64,16,1,4,39.515,3.128,0.001,17.281,1.579,0.216
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,128,1,1,4,39.561,3.151,0.001,17.483,1.651,0.236
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,128,2,1,4,39.66,3.136,0.001,17.139,1.581,0.217
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,128,4,1,4,39.594,3.152,0,17.115,1.575,0.218
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,128,8,1,4,39.552,3.132,0.001,17.174,1.573,0.218
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,256,1,1,4,39.582,3.141,0.001,17.416,1.587,0.217
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,256,2,1,4,39.696,3.139,0,17.074,1.58,0.217
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,256,4,1,4,39.563,3.18,0.001,17.191,1.641,0.224
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,512,1,1,4,39.659,3.144,0.001,17.525,1.573,0.228
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,512,2,1,4,39.537,3.149,0.001,17.269,1.571,0.217
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,1024,1,1,4,39.519,3.15,0.001,17.688,1.576,0.225
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,1,1,1,4,40.197,6.102,0.001,1152.38,2.422,0.247
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,1,2,1,4,39.878,4.859,0,584.592,1.596,0.221
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,1,4,1,4,39.598,6.079,0.001,313.801,1.583,0.226
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,1,8,1,4,39.786,6.125,0,256.741,1.592,0.224
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,1,16,1,4,39.623,6.075,0.001,238.354,1.585,0.223
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,1,32,1,4,39.594,6.078,0.001,228.689,1.598,0.222
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,1,64,1,4,39.552,6.053,0.001,227.093,1.625,0.22
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,1,128,1,4,39.584,6.141,0,227.883,1.592,0.223
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,1,256,1,4,41.355,6.519,0.001,228.188,1.593,0.235
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,1,512,1,4,39.582,6.064,0.001,228.975,1.591,0.221
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,1,1024,1,4,39.554,6.083,0.001,228.963,1.585,0.218
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,2,1,1,4,39.558,6.078,0.001,587.975,1.599,0.218
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,2,2,1,4,39.585,6.07,0.001,295.778,1.586,0.226
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,2,4,1,4,39.602,6.075,0,160.834,1.588,0.22
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,2,8,1,4,39.675,6.102,0,129.086,1.587,0.219
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,2,16,1,4,39.632,6.082,0.001,119.578,1.583,0.218
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,2,32,1,4,39.52,6.089,0,117.43,1.59,0.219
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,2,64,1,4,39.562,6.083,0.001,117.664,1.583,0.218
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,2,128,1,4,39.642,6.08,0.001,117.995,1.596,0.22
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,2,256,1,4,39.556,6.073,0.001,118.17,1.637,0.219
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,2,512,1,4,39.634,6.084,0,118.257,1.59,0.225
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,4,1,1,4,39.633,6.074,0,297.453,1.59,0.22
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,4,2,1,4,39.891,6.184,0,151.127,1.593,0.221
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,4,4,1,4,39.577,6.08,0,83.692,1.583,0.217
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,4,8,1,4,39.526,6.066,0.001,65.404,1.592,0.218
Tesla K20Xm,MatrixMultiplication,TWO_D,1024,1024,1024,4,16,1,4,39.592,6.101,0.001,62.357,1.595,0.226
