device/C,kernel/C,workDimension/C,width/F,height/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,1,1,1,39,225.658,14.3,0.002,42.58,20.7,0.447
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,1,2,1,39,224.754,14.312,0.002,23.404,20.601,0.464
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,1,4,1,39,224.864,14.31,0.003,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,1,8,1,39,224.976,14.303,0.003,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,1,16,1,39,224.635,14.362,0.003,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,1,32,1,39,224.662,14.291,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,1,64,1,39,225.115,14.317,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,1,128,1,39,226.512,14.308,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,1,256,1,39,224.682,14.253,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,1,512,1,39,224.543,14.322,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,1,1024,1,39,224.905,14.304,0.003,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,2,1,1,39,225.043,14.28,0.003,21.281,20.791,0.468
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,2,2,1,39,224.729,14.258,0.002,12.054,20.639,0.441
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,2,4,1,39,225.004,14.298,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,2,8,1,39,225.344,14.511,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,2,16,1,39,225.019,14.251,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,2,32,1,39,224.495,14.323,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,2,64,1,39,225.088,14.29,0.003,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,2,128,1,39,225.087,14.314,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,2,256,1,39,224.772,14.241,0.003,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,2,512,1,39,224.803,14.239,0.003,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,4,1,1,39,224.838,14.334,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,4,2,1,39,225.972,14.282,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,4,4,1,39,224.886,14.297,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,4,8,1,39,224.636,14.257,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,4,16,1,39,224.955,14.263,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,4,32,1,39,224.773,14.376,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,4,64,1,39,225.06,14.271,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,4,128,1,39,224.78,14.317,0.002,-1,-1,-1
Tesla K20Xm,MatrixTranspose,TWO_D,3238,3238,4,256,1,39,224.972,14.279,0.002,-1,-1,-1
