device/C,kernel/C,workDimension/C,nElements/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,Memory,ONE_D,6.71089e+07,1,1,1,256,1330.41,87.698,0.002,251.003,126.468,1.429
Tesla K20Xm,Memory,ONE_D,6.71089e+07,2,1,1,256,1332,87.755,0.003,124.664,125.809,1.467
Tesla K20Xm,Memory,ONE_D,6.71089e+07,4,1,1,256,1329.54,87.866,0.002,62.164,126.617,1.432
Tesla K20Xm,Memory,ONE_D,6.71089e+07,8,1,1,256,1329.51,87.785,0.002,31.545,126.275,1.504
Tesla K20Xm,Memory,ONE_D,6.71089e+07,16,1,1,256,1330.59,87.81,0.003,16.305,125.929,1.427
Tesla K20Xm,Memory,ONE_D,6.71089e+07,32,1,1,256,1330.23,87.983,0.002,8.664,125.988,1.439
Tesla K20Xm,Memory,ONE_D,6.71089e+07,64,1,1,256,1330.34,87.845,0.002,5.157,125.769,1.429
Tesla K20Xm,Memory,ONE_D,6.71089e+07,128,1,1,256,1329.68,87.724,0.002,3.837,126.02,1.44
Tesla K20Xm,Memory,ONE_D,6.71089e+07,256,1,1,256,1332.39,87.767,0.002,3.849,125.94,1.435
Tesla K20Xm,Memory,ONE_D,6.71089e+07,512,1,1,256,1331.1,87.711,0.002,3.973,126.005,1.439
Tesla K20Xm,Memory,ONE_D,6.71089e+07,1024,1,1,256,1330.3,87.707,0.003,3.995,125.896,1.42
Tesla K20Xm,Memory,ONE_D,6.71089e+07,1,1,1,256,1332.16,179.107,0.003,251.21,135.991,1.496
Tesla K20Xm,Memory,ONE_D,6.71089e+07,2,1,1,256,1326.15,179.331,0.003,124.72,135.435,1.443
Tesla K20Xm,Memory,ONE_D,6.71089e+07,4,1,1,256,1326.46,179.385,0.003,62.213,135.803,1.433
Tesla K20Xm,Memory,ONE_D,6.71089e+07,8,1,1,256,1326.91,179.229,0.002,31.624,135.526,1.479
Tesla K20Xm,Memory,ONE_D,6.71089e+07,16,1,1,256,1326.59,179.121,0.003,16.35,135.405,1.486
Tesla K20Xm,Memory,ONE_D,6.71089e+07,32,1,1,256,1326.38,179.074,0.003,8.765,135.604,1.428
Tesla K20Xm,Memory,ONE_D,6.71089e+07,64,1,1,256,1326.39,179.114,0.004,5.216,135.41,1.504
Tesla K20Xm,Memory,ONE_D,6.71089e+07,128,1,1,256,1326.48,179.201,0.003,3.895,135.396,1.46
Tesla K20Xm,Memory,ONE_D,6.71089e+07,256,1,1,256,1325.7,178.984,0.004,3.941,136.544,1.446
Tesla K20Xm,Memory,ONE_D,6.71089e+07,512,1,1,256,1325.92,179.218,0.003,3.979,135.957,1.429
Tesla K20Xm,Memory,ONE_D,6.71089e+07,1024,1,1,256,1326.95,179.119,0.003,4.052,135.402,1.458
