device/C,kernel/C,workDimension/C,width/F,height/F,steps/F,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,1,1,1,24.0103,536.211,1.544,0.002,4103.73,0.003,2.247
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,1,2,1,24.0103,536.372,1.548,0.003,2191.86,0.002,2.12
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,1,4,1,24.0103,536.729,1.542,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,1,8,1,24.0103,535.962,1.544,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,1,16,1,24.0103,536.764,1.553,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,1,32,1,24.0103,534.732,1.548,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,1,64,1,24.0103,536.854,1.55,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,1,128,1,24.0103,534.795,1.581,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,1,256,1,24.0103,536.39,1.552,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,1,512,1,24.0103,535.325,1.548,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,1,1024,1,24.0103,535.985,1.583,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,2,1,1,24.0103,537.007,1.67,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,2,2,1,24.0103,536.008,1.547,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,2,4,1,24.0103,536.769,1.548,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,2,8,1,24.0103,535.952,1.561,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,2,16,1,24.0103,536.458,1.547,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,2,32,1,24.0103,536.085,1.544,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,2,64,1,24.0103,534.96,1.56,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,2,128,1,24.0103,536.379,1.543,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,2,256,1,24.0103,535.23,1.54,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,2,512,1,24.0103,537.374,1.543,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,4,1,1,24.0103,535.878,1.551,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,4,2,1,24.0103,536.696,1.54,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,4,4,1,24.0103,534.391,1.543,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,4,8,1,24.0103,536.774,1.548,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,4,16,1,24.0103,535.964,1.539,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,4,32,1,24.0103,536.569,1.548,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,4,64,1,24.0103,536.367,1.547,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,4,128,1,24.0103,536.641,1.55,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,4,256,1,24.0103,536.56,1.596,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,8,1,1,24.0103,536.028,1.547,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,8,2,1,24.0103,536.814,1.548,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,8,4,1,24.0103,534.418,1.541,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,8,8,1,24.0103,536.88,1.549,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,8,16,1,24.0103,535.924,1.545,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,8,32,1,24.0103,536.638,1.546,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,8,64,1,24.0103,536.159,1.548,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,8,128,1,24.0103,537.307,1.587,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,16,1,1,24.0103,536.197,1.545,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,16,2,1,24.0103,536.383,1.542,0.003,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,16,4,1,24.0103,536.72,1.548,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,16,8,1,24.0103,536.233,1.554,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,16,16,1,24.0103,537.129,1.542,0.006,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,16,32,1,24.0103,534.392,1.548,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,16,64,1,24.0103,536.888,1.548,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,32,1,1,24.0103,536.141,1.538,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,32,2,1,24.0103,536.77,1.548,0.002,-1,-1,-1
Tesla K20Xm,MonteCarloAsian,TWO_D,887,1774,4,32,4,1,24.0103,536.131,1.548,0.002,-1,-1,-1
