device/C,kernel/C,workDimension/C,xLocal/I,yLocal/I,zLocal/I,MB/F,init/F,memoryCopyOut/F,plan/F,execute/F,memoryCopyIn/F,cleanUp/F
Tesla K20Xm,NoMemory,ONE_D,1,1,1,20,0,0,0,0.048,0,0.016
Tesla K20Xm,NoMemory,ONE_D,2,1,1,20,0.001,0,0.001,0.03,0.001,0.016
Tesla K20Xm,NoMemory,ONE_D,4,1,1,20,0.001,0,0,0.03,0,0.015
Tesla K20Xm,NoMemory,ONE_D,8,1,1,20,0,0,0,0.029,0,0.014
Tesla K20Xm,NoMemory,ONE_D,16,1,1,20,0.001,0,0,0.028,0,0.014
Tesla K20Xm,NoMemory,ONE_D,32,1,1,20,0,0.001,0,0.027,0,0.013
Tesla K20Xm,NoMemory,ONE_D,64,1,1,20,0,0.001,0,0.027,0,0.013
Tesla K20Xm,NoMemory,ONE_D,128,1,1,20,0.001,0,0,0.028,0,0.013
Tesla K20Xm,NoMemory,ONE_D,256,1,1,20,0,0,0,0.028,0,0.013
Tesla K20Xm,NoMemory,ONE_D,512,1,1,20,0.001,0,0,0.027,0,0.013
Tesla K20Xm,NoMemory,ONE_D,1024,1,1,20,0,0,0,-1,-1,-1
Tesla K20Xm,NoMemory,ONE_D,1,1,1,20,0,0,0,0.027,0,0.008
Tesla K20Xm,NoMemory,ONE_D,2,1,1,20,0.001,0,0,0.018,0,0.008
Tesla K20Xm,NoMemory,ONE_D,4,1,1,20,0,0,0,0.017,0,0.007
Tesla K20Xm,NoMemory,ONE_D,8,1,1,20,0,0,0,0.017,0,0.007
Tesla K20Xm,NoMemory,ONE_D,16,1,1,20,0,0,0,0.017,0.001,0.007
Tesla K20Xm,NoMemory,ONE_D,32,1,1,20,0,0,0,0.017,0,0.006
Tesla K20Xm,NoMemory,ONE_D,64,1,1,20,0,0,0,0.017,0,0.007
Tesla K20Xm,NoMemory,ONE_D,128,1,1,20,0,0,0,0.017,0,0.007
Tesla K20Xm,NoMemory,ONE_D,256,1,1,20,0.001,0,0,0.016,0,0.006
Tesla K20Xm,NoMemory,ONE_D,512,1,1,20,0,0,0,0.017,0,0.007
Tesla K20Xm,NoMemory,ONE_D,1024,1,1,20,0,0,0,-1,-1,-1
Tesla K20Xm,NoMemory,ONE_D,1,1,1,20,0,0,0,0.028,0,0.008
Tesla K20Xm,NoMemory,ONE_D,2,1,1,20,0,0,0,0.02,0,0.009
Tesla K20Xm,NoMemory,ONE_D,4,1,1,20,0,0,0,0.036,0,0.009
Tesla K20Xm,NoMemory,ONE_D,8,1,1,20,0,0,0,0.018,0,0.007
Tesla K20Xm,NoMemory,ONE_D,16,1,1,20,0,0,0,0.018,0,0.008
Tesla K20Xm,NoMemory,ONE_D,32,1,1,20,0,0,0.001,0.017,0,0.007
Tesla K20Xm,NoMemory,ONE_D,64,1,1,20,0,0,0,0.019,0,0.007
Tesla K20Xm,NoMemory,ONE_D,128,1,1,20,0,0,0,0.018,0,0.007
Tesla K20Xm,NoMemory,ONE_D,256,1,1,20,0,0,0,0.018,0,0.007
Tesla K20Xm,NoMemory,ONE_D,512,1,1,20,0,0,0,0.018,0,0.007
Tesla K20Xm,NoMemory,ONE_D,1024,1,1,20,0,0,0,-1,-1,-1
Tesla K20Xm,NoMemory,ONE_D,1,1,1,20,0,0,0.001,0.029,0,0.008
Tesla K20Xm,NoMemory,ONE_D,2,1,1,20,0,0,0,0.019,0,0.008
Tesla K20Xm,NoMemory,ONE_D,4,1,1,20,0,0,0,0.018,0,0.008
Tesla K20Xm,NoMemory,ONE_D,8,1,1,20,0,0,0,0.017,0,0.007
Tesla K20Xm,NoMemory,ONE_D,16,1,1,20,0,0,0,0.016,0,0.007
Tesla K20Xm,NoMemory,ONE_D,32,1,1,20,0,0,0,0.018,0,0.007
Tesla K20Xm,NoMemory,ONE_D,64,1,1,20,0.001,0,0,0.016,0,0.006
Tesla K20Xm,NoMemory,ONE_D,128,1,1,20,0,0,0,0.016,0,0.007
Tesla K20Xm,NoMemory,ONE_D,256,1,1,20,0,0,0.001,0.016,0,0.007
Tesla K20Xm,NoMemory,ONE_D,512,1,1,20,0.001,0,0.001,0.016,0,0.007
Tesla K20Xm,NoMemory,ONE_D,1024,1,1,20,0,0.001,0,-1,-1,-1
Tesla K20Xm,NoMemory,ONE_D,1,1,1,20,0,0.001,0,0.028,0,0.008
Tesla K20Xm,NoMemory,ONE_D,2,1,1,20,0,0.001,0,0.018,0,0.008
Tesla K20Xm,NoMemory,ONE_D,4,1,1,20,0,0,0,0.017,0,0.007
Tesla K20Xm,NoMemory,ONE_D,8,1,1,20,0,0,0,0.016,0.001,0.007
Tesla K20Xm,NoMemory,ONE_D,16,1,1,20,0,0,0,0.016,0,0.007
Tesla K20Xm,NoMemory,ONE_D,32,1,1,20,0,0,0,0.016,0,0.007
Tesla K20Xm,NoMemory,ONE_D,64,1,1,20,0,0,0,0.015,0.001,0.006
Tesla K20Xm,NoMemory,ONE_D,128,1,1,20,0,0,0,0.016,0,0.007
Tesla K20Xm,NoMemory,ONE_D,256,1,1,20,0,0,0,0.016,0,0.007
Tesla K20Xm,NoMemory,ONE_D,512,1,1,20,0,0,0,0.015,0.001,0.007
Tesla K20Xm,NoMemory,ONE_D,1024,1,1,20,0.001,0,0,-1,-1,-1
Tesla K20Xm,NoMemory,ONE_D,1,1,1,20,0.001,0.001,0,0.047,0.001,0.015
Tesla K20Xm,NoMemory,ONE_D,2,1,1,20,0,0,0,0.031,0,0.017
Tesla K20Xm,NoMemory,ONE_D,4,1,1,20,0.001,0,0,0.028,0,0.015
Tesla K20Xm,NoMemory,ONE_D,8,1,1,20,0,0,0,0.027,0,0.014
Tesla K20Xm,NoMemory,ONE_D,16,1,1,20,0,0,0,0.027,0,0.013
Tesla K20Xm,NoMemory,ONE_D,32,1,1,20,0,0,0,0.027,0,0.014
Tesla K20Xm,NoMemory,ONE_D,64,1,1,20,0,0,0,0.027,0,0.013
Tesla K20Xm,NoMemory,ONE_D,128,1,1,20,0,0,0,0.026,0.001,0.013
Tesla K20Xm,NoMemory,ONE_D,256,1,1,20,0,0,0,0.026,0,0.013
Tesla K20Xm,NoMemory,ONE_D,512,1,1,20,0,0.001,0,0.026,0.001,0.012
Tesla K20Xm,NoMemory,ONE_D,1024,1,1,20,0,0,0.001,-1,-1,-1
Tesla K20Xm,NoMemory,ONE_D,1,1,1,20,0,0,0,0.027,0,0.008
Tesla K20Xm,NoMemory,ONE_D,2,1,1,20,0,0,0,0.019,0,0.009
Tesla K20Xm,NoMemory,ONE_D,4,1,1,20,0,0,0,0.018,0,0.008
