nVectors,memcpyOut,plan,execu,memcpyIn
2,0.017,210.411,0.065,0.030,
2,0.077,0.153,0.019,0.018,
4,0.074,0.148,0.061,0.018,
8,0.073,0.149,0.025,0.017,
16,0.075,0.150,0.026,0.018,
32,0.071,0.149,0.027,0.017,
64,0.072,0.145,0.079,0.018,
128,0.073,0.147,0.039,0.018,
256,0.072,0.146,0.043,0.019,
512,0.073,0.146,0.037,0.019,
1024,0.074,0.148,0.050,0.025,
2048,0.076,0.235,0.046,0.025,
4096,0.085,0.165,0.046,0.044,
8192,0.099,0.147,0.051,0.082,
16384,0.177,0.162,0.054,0.136,
32768,0.238,0.149,0.047,0.296,
65536,0.390,0.149,0.050,0.574,
131072,0.718,0.210,0.070,0.672,
262144,1.060,0.202,0.101,1.753,
524288,1.375,0.213,0.154,3.218,
1048576,2.436,0.230,0.267,6.271,
2097152,4.633,0.339,0.512,12.516,
4194304,9.190,0.399,1.038,24.536,
8388608,18.124,0.427,2.160,48.865,
16777216,35.867,0.449,4.515,96.424,
2,0.016,0.214,0.041,0.020,
2,0.073,0.152,0.019,0.018,
4,0.074,0.149,0.035,0.018,
8,0.074,0.151,0.026,0.017,
16,0.075,0.149,0.027,0.017,
32,0.074,0.148,0.027,0.017,
64,0.071,0.146,0.040,0.018,
128,0.071,0.147,0.033,0.018,
256,0.073,0.147,0.037,0.018,
512,0.073,0.145,0.034,0.019,
1024,0.073,0.147,0.039,0.021,
2048,0.077,0.147,0.040,0.024,
4096,0.084,0.148,0.042,0.031,
8192,0.100,0.148,0.046,0.045,
16384,0.134,0.148,0.044,0.074,
32768,0.186,0.152,0.042,0.132,
65536,0.301,0.145,0.046,0.237,
131072,0.513,0.210,0.070,0.455,
262144,0.831,0.205,0.096,0.743,
524288,1.415,0.213,0.154,1.308,
1048576,2.492,0.241,0.272,2.397,
2097152,4.603,0.322,0.506,5.469,
4194304,9.104,0.391,1.050,10.697,
8388608,18.041,0.410,2.180,21.231,
16777216,35.865,0.476,4.499,96.472,
2,0.015,0.216,0.041,0.020,
2,0.073,0.152,0.019,0.018,
4,0.073,0.149,0.034,0.018,
8,0.075,0.150,0.026,0.017,
16,0.075,0.149,0.026,0.017,
32,0.072,0.148,0.026,0.017,
64,0.072,0.145,0.040,0.018,
128,0.134,0.146,0.033,0.018,
256,0.072,0.146,0.037,0.018,
512,0.072,0.147,0.034,0.019,
1024,0.073,0.147,0.039,0.021,
2048,0.077,0.148,0.041,0.024,
4096,0.084,0.155,0.042,0.031,
8192,0.099,0.151,0.045,0.045,
16384,0.132,0.148,0.044,0.072,
32768,0.186,0.258,0.042,0.125,
65536,0.295,0.138,0.046,0.233,
131072,0.506,0.198,0.071,0.444,
262144,0.803,0.190,0.096,0.718,
524288,1.364,0.195,0.152,1.271,
1048576,2.458,0.207,0.263,2.378,
2097152,4.586,0.301,0.507,5.490,
4194304,9.164,0.361,1.039,10.740,
8388608,18.076,0.397,2.153,21.306,
16777216,35.914,0.403,4.540,96.046,
2,0.173,0.234,0.042,0.019,
2,0.074,0.135,0.019,0.017,
4,0.072,0.134,0.034,0.017,
8,0.072,0.139,0.026,0.018,
16,0.075,0.135,0.026,0.017,
32,0.071,0.136,0.026,0.017,
64,0.070,0.133,0.039,0.018,
128,0.071,0.148,0.033,0.018,
256,0.071,0.131,0.036,0.018,
512,0.072,0.134,0.033,0.019,
1024,0.073,0.134,0.039,0.021,
2048,0.076,0.149,0.040,0.024,
4096,0.082,0.149,0.042,0.031,
8192,0.096,0.140,0.045,0.079,
16384,0.131,0.137,0.044,0.071,
32768,0.182,0.133,0.041,0.124,
65536,0.287,0.130,0.047,0.229,
131072,0.499,0.199,0.071,0.436,
262144,0.784,0.186,0.095,0.731,
524288,1.334,0.192,0.151,1.248,
1048576,2.375,0.205,0.264,2.321,
2097152,4.498,0.297,0.511,5.302,
4194304,9.038,0.338,1.041,10.425,
8388608,17.658,0.390,2.136,20.718,
16777216,38.581,0.381,4.467,101.363,
2,0.177,0.228,0.042,0.020,
2,0.074,0.138,0.019,0.017,
4,0.073,0.136,0.034,0.017,
8,0.074,0.136,0.026,0.017,
16,0.076,0.136,0.026,0.017,
32,0.074,0.138,0.027,0.017,
64,0.072,0.135,0.040,0.017,
128,0.072,0.150,0.033,0.018,
256,0.074,0.133,0.037,0.018,
512,0.074,0.136,0.034,0.019,
1024,0.074,0.137,0.039,0.021,
2048,0.078,0.151,0.040,0.024,
4096,0.085,0.151,0.042,0.031,
8192,0.099,0.140,0.045,0.082,
16384,0.133,0.140,0.045,0.071,
32768,0.185,0.135,0.041,0.124,
65536,0.294,0.132,0.047,0.230,
131072,0.506,0.204,0.069,0.451,
262144,0.803,0.190,0.097,0.719,
524288,1.365,0.196,0.153,1.270,
1048576,2.419,0.207,0.262,2.389,
2097152,4.591,0.300,0.509,5.436,
4194304,9.164,0.359,1.038,10.697,
8388608,18.121,0.384,2.142,21.196,
16777216,35.976,0.388,4.443,96.326,
2,0.176,0.198,0.041,0.020,
2,0.073,0.140,0.019,0.018,
4,0.073,0.139,0.034,0.017,
8,0.075,0.139,0.026,0.017,
16,0.076,0.138,0.026,0.017,
32,0.072,0.137,0.027,0.017,
64,0.074,0.136,0.039,0.018,
128,0.072,0.136,0.033,0.018,
256,0.073,0.137,0.037,0.018,
512,0.074,0.136,0.034,0.019,
1024,0.074,0.138,0.039,0.021,
2048,0.078,0.137,0.040,0.024,
4096,0.084,0.142,0.042,0.032,
8192,0.100,0.139,0.045,0.046,
16384,0.132,0.144,0.045,0.071,
32768,0.185,0.138,0.041,0.125,
65536,0.292,0.136,0.046,0.231,
131072,0.551,0.200,0.071,0.444,
262144,0.804,0.194,0.096,0.720,
524288,1.363,0.193,0.150,1.274,
1048576,2.424,0.206,0.265,2.376,
2097152,4.595,0.300,0.509,5.419,
4194304,9.158,0.362,1.041,10.675,
8388608,18.088,0.397,2.149,21.227,
16777216,35.871,0.399,4.483,96.311,
2,0.174,0.199,0.041,0.020,
2,0.074,0.138,0.019,0.017,
4,0.073,0.140,0.034,0.018,
8,0.074,0.137,0.025,0.017,
16,0.077,0.137,0.026,0.017,
32,0.073,0.143,0.027,0.018,
64,0.072,0.136,0.039,0.018,
128,0.073,0.135,0.033,0.018,
256,0.073,0.137,0.037,0.018,
512,0.073,0.134,0.033,0.019,
1024,0.073,0.138,0.039,0.020,
2048,0.077,0.139,0.040,0.024,
4096,0.084,0.142,0.042,0.032,
8192,0.100,0.138,0.045,0.046,
16384,0.132,0.144,0.044,0.071,
32768,0.184,0.136,0.041,0.127,
65536,0.292,0.136,0.046,0.231,
131072,0.507,0.200,0.070,0.445,
262144,0.803,0.194,0.096,0.724,
524288,1.362,0.192,0.151,1.273,
1048576,2.412,0.208,0.262,2.381,
2097152,4.598,0.296,0.507,5.423,
4194304,11.104,0.335,1.030,12.557,
8388608,18.127,0.388,2.144,21.199,
16777216,35.872,0.398,4.450,96.287,
2,0.168,0.193,0.040,0.019,
2,0.073,0.142,0.019,0.018,
4,0.074,0.137,0.034,0.017,
8,0.074,0.140,0.026,0.017,
16,0.076,0.139,0.026,0.017,
32,0.074,0.135,0.027,0.018,
64,0.072,0.134,0.039,0.018,
128,0.072,0.136,0.033,0.018,
256,0.074,0.135,0.037,0.018,
512,0.073,0.137,0.034,0.019,
1024,0.074,0.138,0.039,0.021,
2048,0.077,0.140,0.040,0.025,
4096,0.084,0.140,0.042,0.032,
8192,0.098,0.141,0.045,0.046,
16384,0.132,0.141,0.044,0.073,
32768,0.186,0.139,0.042,0.126,
65536,0.293,0.132,0.046,0.232,
131072,0.506,0.197,0.068,0.444,
262144,0.803,0.193,0.095,0.721,
524288,1.360,0.193,0.152,1.283,
1048576,2.428,0.208,0.265,2.378,
2097152,4.594,0.297,0.551,5.422,
4194304,9.168,0.363,1.056,10.688,
8388608,18.094,0.380,2.147,21.225,
16777216,35.855,0.399,4.463,96.464,
2,0.174,0.195,0.041,0.020,
2,0.074,0.141,0.019,0.018,
4,0.073,0.140,0.040,0.017,
8,0.074,0.138,0.026,0.017,
16,0.076,0.138,0.026,0.017,
32,0.073,0.139,0.027,0.017,
64,0.072,0.136,0.039,0.018,
128,0.075,0.139,0.033,0.018,
256,0.073,0.137,0.036,0.018,
512,0.073,0.135,0.034,0.019,
1024,0.074,0.137,0.040,0.021,
2048,0.077,0.139,0.040,0.024,
4096,0.085,0.141,0.042,0.031,
8192,0.099,0.139,0.045,0.046,
16384,0.133,0.145,0.044,0.073,
32768,0.186,0.137,0.042,0.127,
65536,0.294,0.136,0.046,0.231,
131072,0.505,0.200,0.070,0.444,
262144,0.806,0.193,0.096,0.718,
524288,1.362,0.278,0.152,1.276,
1048576,2.416,0.208,0.262,2.381,
2097152,4.590,0.307,0.508,5.580,
4194304,9.212,0.365,1.102,10.694,
8388608,18.075,0.394,2.148,21.278,
16777216,35.843,0.384,4.472,96.425,
2,0.175,0.195,0.041,0.019,
2,0.073,0.140,0.019,0.017,
4,0.074,0.141,0.035,0.017,
8,0.074,0.138,0.026,0.017,
16,0.076,0.137,0.026,0.017,
32,0.073,0.139,0.027,0.018,
64,0.072,0.136,0.039,0.018,
128,0.072,0.134,0.033,0.018,
256,0.073,0.137,0.037,0.018,
512,0.073,0.134,0.033,0.019,
1024,0.073,0.137,0.039,0.021,
2048,0.077,0.135,0.040,0.025,
4096,0.085,0.140,0.042,0.032,
8192,0.099,0.138,0.045,0.045,
16384,0.133,0.142,0.044,0.071,
32768,0.187,0.137,0.041,0.125,
65536,0.293,0.135,0.047,0.231,
131072,0.507,0.200,0.070,0.446,
262144,0.800,0.193,0.095,0.722,
524288,1.360,0.193,0.149,1.268,
1048576,2.413,0.209,0.265,2.380,
2097152,4.591,0.303,0.508,5.430,
4194304,9.183,0.361,1.034,10.701,
8388608,18.093,0.391,2.136,21.200,
16777216,35.917,0.376,4.416,96.412,
2,0.175,0.197,0.041,0.019,
2,0.073,0.140,0.018,0.017,
4,0.074,0.140,0.035,0.017,
8,0.074,0.138,0.026,0.017,
16,0.076,0.137,0.026,0.017,
32,0.073,0.139,0.027,0.017,
64,0.072,0.136,0.040,0.017,
128,0.073,0.134,0.033,0.018,
256,0.073,0.137,0.037,0.018,
512,0.073,0.134,0.034,0.019,
1024,0.075,0.137,0.039,0.021,
2048,0.077,0.137,0.040,0.024,
4096,0.084,0.141,0.042,0.032,
8192,0.101,0.140,0.045,0.045,
16384,0.132,0.145,0.045,0.072,
32768,0.186,0.137,0.042,0.127,
65536,0.294,0.136,0.047,0.233,
131072,0.506,0.200,0.070,0.442,
262144,0.804,0.195,0.096,0.718,
524288,1.364,0.192,0.150,1.275,
1048576,2.422,0.209,0.264,2.377,
2097152,4.605,0.296,0.509,5.425,
4194304,9.172,0.367,1.039,10.670,
8388608,18.084,0.394,2.125,21.248,
16777216,35.733,0.398,4.501,96.517,
2,0.016,0.194,0.041,0.020,
2,0.074,0.141,0.019,0.017,
4,0.073,0.140,0.034,0.018,
8,0.074,0.138,0.025,0.017,
16,0.082,0.137,0.026,0.017,
32,0.073,0.138,0.027,0.018,
64,0.072,0.136,0.039,0.018,
128,0.073,0.134,0.033,0.018,
256,0.074,0.137,0.037,0.018,
512,0.073,0.134,0.033,0.019,
1024,0.077,0.142,0.039,0.021,
2048,0.079,0.135,0.040,0.024,
