nVectors,memcpyOut,plan,execu,memcpyIn
1,1.103,2.115,0.854,0.275,
2,0.602,1.199,0.565,0.185,
4,0.264,1.508,0.621,0.184,
8,0.257,1.735,0.691,0.232,
16,0.270,1.907,0.748,0.189,
32,0.255,2.243,0.551,0.184,
64,0.258,2.340,0.541,0.211,
128,0.263,3.160,0.503,0.197,
256,0.259,3.288,0.548,0.193,
512,0.630,4.852,0.507,0.199,
1024,0.259,7.640,0.577,0.490,
2048,0.306,11.943,0.593,0.199,
4096,0.284,22.037,0.692,0.472,
8192,0.324,5.647,0.668,0.279,
16384,0.361,6.179,0.649,0.553,
32768,0.715,6.597,0.954,0.339,
65536,0.999,6.876,1.257,0.903,
131072,1.183,9.706,1.682,0.919,
262144,1.809,10.384,2.180,1.601,
524288,3.176,13.894,3.799,2.698,
1048576,6.369,16.044,6.547,4.171,
2097152,10.794,21.308,12.473,8.824,
4194304,21.868,25.364,23.933,14.939,
8388608,41.767,35.464,51.092,28.604,
3,0.787,1.838,0.668,0.217,
6,0.258,1.730,0.552,0.203,
12,0.255,2.494,0.689,0.219,
24,0.255,2.619,0.532,0.202,
48,0.639,3.729,0.584,0.199,
96,0.272,3.791,0.556,0.187,
192,0.266,5.263,0.549,0.210,
384,0.264,6.087,0.584,0.196,
768,0.267,8.149,0.627,0.194,
1536,0.547,11.362,0.634,0.202,
3072,0.266,18.812,0.652,0.218,
6144,0.316,6.984,0.827,0.295,
12288,0.363,7.271,0.734,0.304,
24576,0.774,7.184,0.660,0.433,
49152,0.597,9.334,0.769,0.772,
98304,1.122,9.989,1.563,0.733,
196608,1.420,11.443,1.762,1.023,
393216,2.613,13.518,3.126,1.861,
786432,4.510,16.150,5.392,3.353,
1572864,8.697,21.138,9.925,5.973,
3145728,18.220,23.538,19.759,11.444,
6291456,33.655,32.654,40.492,21.879,
9,0.798,2.407,0.345,0.177,
18,0.260,2.130,0.264,0.348,
36,0.330,2.806,0.294,0.320,
72,0.267,3.507,0.304,0.314,
144,0.267,4.070,0.304,0.321,
288,0.267,5.728,0.404,0.273,
576,0.270,6.890,0.445,0.180,
1152,0.253,9.533,0.459,0.218,
2304,0.277,14.794,0.461,0.202,
4608,0.304,5.836,0.725,0.280,
9216,0.323,7.006,0.674,0.358,
18432,0.398,7.508,0.672,0.353,
36864,0.520,7.400,0.985,0.534,
73728,0.738,8.815,1.159,0.856,
147456,1.237,11.123,1.512,0.929,
294912,2.044,13.094,2.220,1.534,
589824,3.428,14.614,4.008,2.452,
1179648,6.715,19.139,7.511,4.632,
2359296,12.073,21.765,14.436,9.433,
4718592,24.913,32.717,30.938,17.095,
9437184,50.028,35.867,68.909,33.017,
27,0.911,2.278,0.374,0.276,
54,0.266,2.669,0.343,0.283,
108,0.258,3.736,0.332,0.262,
216,0.261,4.429,0.431,0.272,
432,0.260,6.042,0.478,0.180,
864,0.261,7.946,0.342,0.270,
1728,0.271,12.144,0.477,0.208,
3456,0.266,19.405,0.506,0.191,
6912,0.297,5.926,0.650,0.322,
13824,0.321,7.222,0.827,0.307,
27648,0.516,7.200,0.814,0.447,
55296,0.631,7.777,1.055,0.770,
110592,1.112,9.462,1.446,0.750,
221184,1.625,11.219,1.834,1.023,
442368,2.805,15.114,3.311,1.855,
884736,4.922,15.709,6.062,3.524,
1769472,9.165,21.596,11.237,6.635,
3538944,18.225,24.155,22.312,12.710,
7077888,35.260,34.262,46.088,25.206,
81,0.825,2.753,0.387,0.270,
162,0.270,3.504,0.312,0.258,
324,0.270,5.732,0.484,0.233,
648,0.259,6.995,0.449,0.186,
1296,0.262,9.623,0.402,0.232,
2592,0.285,15.874,0.558,0.185,
5184,0.284,7.781,0.692,0.329,
10368,0.357,6.235,0.744,0.284,
20736,0.524,6.222,0.885,0.336,
41472,0.615,7.290,0.872,0.602,
82944,0.747,8.464,1.246,0.898,
165888,1.326,10.933,1.652,1.070,
331776,2.285,13.491,2.480,1.602,
663552,3.795,14.702,4.668,2.881,
1327104,7.010,18.880,8.797,5.123,
2654208,13.563,21.736,16.172,9.908,
5308416,27.890,32.292,34.180,21.211,
243,0.772,3.661,0.342,0.177,
486,0.260,5.704,0.331,0.343,
972,0.320,9.043,0.528,0.235,
1944,0.297,13.054,0.588,0.197,
3888,0.292,21.700,0.639,0.193,
7776,0.293,7.968,0.856,0.206,
15552,0.337,7.925,0.841,0.269,
31104,0.469,8.275,0.841,0.507,
62208,0.643,7.074,1.025,0.557,
124416,1.075,8.546,1.412,0.803,
248832,1.951,10.506,2.084,1.132,
497664,2.976,12.468,3.739,1.970,
995328,5.473,17.160,6.809,4.121,
1990656,10.042,20.903,12.485,7.608,
3981312,19.973,25.552,25.013,14.432,
7962624,40.477,34.773,51.805,27.720,
729,0.790,5.510,0.440,0.202,
1458,0.274,9.752,0.557,0.248,
2916,0.278,17.906,0.577,0.196,
5832,0.288,6.717,0.703,0.338,
11664,0.362,8.102,0.845,0.323,
23328,0.449,7.444,0.932,0.312,
46656,0.581,8.830,0.982,0.706,
93312,0.815,10.805,1.180,0.746,
186624,1.291,11.187,1.921,0.979,
373248,2.366,15.196,2.984,1.633,
746496,4.264,13.783,4.417,3.208,
1492992,7.655,17.756,8.905,6.326,
2985984,16.153,21.701,17.864,11.006,
5971968,29.893,31.732,36.311,21.414,
2187,0.821,14.085,0.591,0.229,
4374,0.305,5.424,0.695,0.284,
8748,0.311,6.730,0.806,0.294,
17496,0.396,7.309,0.858,0.451,
34992,0.505,7.829,0.970,0.366,
69984,0.824,10.287,1.071,0.768,
139968,1.131,11.306,1.521,0.853,
279936,1.683,14.414,2.511,1.442,
559872,3.266,15.765,4.106,2.310,
1119744,6.004,20.791,8.587,4.455,
2239488,11.355,23.197,15.766,8.342,
4478976,22.623,31.792,36.074,15.537,
8957952,45.697,36.838,61.497,30.760,
6561,7.332,5.325,0.791,0.379,
13122,0.427,6.672,0.779,0.338,
26244,0.445,7.387,0.967,0.389,
52488,0.657,7.933,1.069,0.409,
104976,1.069,10.999,1.284,0.774,
209952,1.702,12.219,1.923,1.189,
419904,2.600,14.615,3.494,1.870,
839808,4.652,17.816,6.684,3.448,
1679616,8.550,22.002,11.940,6.439,
3359232,17.084,25.884,24.312,12.683,
6718464,33.315,33.924,55.638,23.396,
19683,0.918,6.313,1.010,0.324,
39366,0.599,6.972,0.940,0.561,
78732,0.976,9.057,1.084,0.857,
157464,1.420,11.198,1.615,0.812,
314928,2.107,14.185,2.668,1.393,
629856,3.957,16.183,5.118,2.544,
1259712,6.549,20.250,9.404,5.108,
2519424,12.890,22.915,18.793,9.226,
5038848,27.545,31.681,39.780,18.047,
59049,1.131,7.195,1.181,0.779,
118098,1.044,9.413,1.379,0.863,
236196,1.819,11.296,1.999,1.103,
472392,2.777,14.739,3.954,1.955,
944784,5.539,18.154,7.154,4.218,
1889568,9.779,22.255,13.635,7.107,
3779136,19.799,27.067,27.528,13.640,
7558272,37.618,34.668,63.043,26.038,
177147,1.698,10.080,1.727,1.108,
354294,2.258,11.375,2.468,1.928,
708588,4.064,15.099,5.083,2.916,
1417176,7.348,19.017,9.707,5.474,
2834352,14.231,22.812,19.289,10.287,
5668704,28.558,31.243,43.298,19.773,
531441,7.835,11.759,4.031,2.227,
1062882,7.773,16.248,6.739,4.276,
2125764,10.727,20.073,12.927,7.909,
4251528,25.554,27.591,29.130,15.745,
8503056,43.034,35.805,69.093,29.255,
1594323,15.757,20.752,10.454,6.027,
3188646,16.143,24.958,20.144,11.586,
6377292,32.035,31.846,45.694,22.221,
4782969,24.439,28.849,33.798,18.427,
9565938,47.837,20.077,63.362,33.567,
5,0.786,1.806,0.402,0.180,
10,0.245,1.797,0.328,0.343,
20,0.311,4.348,0.458,0.265,
40,0.260,3.797,0.402,0.166,
80,0.260,5.554,0.405,0.164,
160,0.252,5.498,0.457,0.279,
320,0.264,7.317,0.550,0.230,
640,0.262,8.331,0.605,0.172,
1280,0.262,12.513,0.566,0.178,
2560,0.266,18.083,0.668,0.207,
5120,0.291,7.216,0.794,0.210,
10240,0.312,8.473,0.901,0.394,
20480,0.431,8.369,1.033,0.384,
40960,0.589,8.814,1.317,0.414,
81920,0.806,10.386,1.274,0.820,
163840,1.484,12.534,1.724,1.029,
327680,2.315,14.839,2.601,1.656,
655360,3.724,16.362,4.951,3.081,
1310720,7.447,21.080,8.781,5.010,
2621440,14.063,24.980,17.455,9.652,
5242880,28.565,34.804,35.222,20.738,
15,0.777,3.272,0.514,0.369,
30,0.319,5.028,0.370,0.322,
60,0.259,4.843,0.428,0.195,
120,0.267,7.117,0.401,0.294,
240,0.263,8.876,0.630,0.255,
480,0.288,12.067,0.656,0.188,
960,0.262,15.672,0.651,0.204,
1920,0.301,21.966,0.716,0.212,
3840,0.287,31.145,0.872,0.199,
7680,0.306,8.903,0.968,0.316,
15360,0.377,10.490,0.817,0.368,
30720,0.487,10.709,0.969,0.421,
61440,0.697,12.916,1.138,0.432,
122880,1.001,14.653,1.609,1.003,
245760,1.812,16.484,2.583,1.120,
491520,2.929,20.004,4.058,2.185,
983040,5.288,23.505,7.388,3.868,
1966080,10.036,27.964,13.558,7.374,
3932160,19.670,33.098,28.377,14.209,
7864320,38.899,42.741,56.324,27.311,
45,0.799,4.278,0.514,0.342,
90,0.307,7.085,0.466,0.293,
180,0.259,7.121,0.586,0.258,
360,0.273,8.187,0.594,0.170,
720,0.332,11.039,0.673,0.197,
1440,0.265,16.711,0.825,0.198,
2880,0.268,24.050,0.755,0.216,
5760,0.310,7.275,0.932,0.295,
11520,0.344,10.314,1.138,0.259,
23040,0.469,10.517,0.971,0.463,
46080,0.599,11.172,1.174,0.514,
92160,0.996,13.243,1.428,0.758,
184320,1.341,13.823,1.885,1.003,
368640,2.458,15.657,3.327,1.653,
737280,4.198,19.447,5.762,2.915,
1474560,8.177,23.532,9.942,5.416,
2949120,14.998,28.077,19.683,10.577,
5898240,31.364,37.299,39.964,20.560,
135,0.781,6.577,0.596,0.300,
270,0.297,9.114,0.468,0.294,
540,0.261,10.284,0.593,0.241,
1080,0.271,13.480,0.688,0.183,
2160,0.266,17.453,0.656,0.200,
4320,0.301,10.256,1.020,0.210,
8640,0.300,11.172,1.073,0.230,
17280,0.448,13.034,1.208,0.344,
34560,0.623,8.914,1.122,0.318,
69120,0.766,11.218,1.265,0.545,
138240,1.009,14.389,1.622,0.790,
276480,1.854,17.185,2.524,1.197,
552960,3.236,18.460,4.572,2.337,
1105920,5.853,22.662,7.984,4.691,
2211840,11.963,25.163,15.130,8.273,
4423680,22.299,34.981,32.073,15.942,
8847360,45.477,38.827,73.710,31.935,
405,0.825,7.589,0.717,0.265,
810,0.303,13.802,0.717,0.194,
1620,0.265,17.646,0.734,0.205,
3240,0.282,24.092,0.801,0.198,
6480,0.301,11.452,0.982,0.255,
12960,0.391,11.500,1.153,0.231,
25920,0.653,13.126,1.404,0.404,
51840,0.633,14.649,1.554,0.406,
103680,0.907,16.785,1.797,0.855,
207360,1.673,12.712,2.014,1.207,
414720,2.541,15.379,3.332,1.918,
829440,4.777,21.412,6.350,3.550,
1658880,8.754,25.706,11.851,6.286,
3317760,16.551,29.305,23.570,12.125,
6635520,33.320,39.045,47.420,24.227,
1215,0.685,11.446,0.745,0.202,
2430,0.278,21.321,0.770,0.211,
4860,0.301,8.085,0.916,0.280,
9720,0.315,9.965,1.098,0.189,
19440,0.487,8.792,1.003,0.407,
38880,0.533,9.114,1.128,0.585,
77760,0.747,10.910,1.434,0.569,
155520,1.106,12.838,1.847,0.818,
311040,2.106,16.841,2.882,1.592,
622080,3.559,18.357,5.587,2.758,
1244160,6.826,22.635,9.786,4.897,
2488320,12.673,23.935,16.196,9.337,
4976640,24.680,34.142,32.886,17.413,
9953280,50.947,44.374,85.949,34.606,
3645,0.841,22.841,0.921,0.232,
7290,0.309,10.142,1.648,0.227,
14580,0.330,10.064,1.081,0.243,
29160,0.494,10.700,1.137,0.493,
58320,0.744,12.337,1.452,0.769,
116640,1.165,15.100,1.454,0.741,
233280,1.647,17.097,2.276,1.301,
466560,2.741,21.057,4.023,2.046,
933120,5.024,24.449,7.946,3.783,
1866240,10.369,28.984,14.909,7.751,
3732480,18.901,34.900,29.747,13.268,
7464960,36.888,42.187,66.574,26.482,
10935,0.866,8.277,1.069,0.356,
21870,0.464,11.208,0.885,0.556,
43740,0.634,10.991,1.331,0.366,
87480,0.827,13.415,1.476,0.709,
174960,1.444,13.379,1.953,1.075,
349920,2.313,16.579,3.060,1.771,
699840,3.949,19.690,6.297,2.783,
1399680,7.243,24.777,11.920,5.384,
2799360,14.219,30.299,21.516,10.217,
5598720,30.520,37.288,48.006,19.766,
32805,5.612,9.321,1.232,0.592,
65610,0.695,10.931,1.268,0.768,
131220,1.215,14.348,1.804,0.845,
262440,1.973,18.737,2.526,1.140,
524880,3.080,19.701,4.652,2.214,
1049760,5.751,24.050,8.226,4.496,
2099520,10.683,26.844,16.363,7.750,
4199040,21.058,34.529,35.733,14.636,
8398080,41.420,38.018,79.998,29.191,
98415,1.330,11.536,1.742,0.757,
196830,1.720,13.435,2.280,1.093,
393660,2.509,16.699,3.903,1.841,
787320,4.514,22.611,6.948,3.326,
1574640,8.163,26.178,12.714,6.029,
3149280,16.828,30.331,25.468,12.861,
6298560,32.985,38.353,56.503,21.812,
295245,2.248,13.781,2.644,1.442,
590490,3.418,20.246,5.556,2.513,
1180980,6.555,23.432,10.742,4.693,
2361960,11.962,24.510,17.805,8.874,
4723920,23.418,32.909,37.946,16.589,
9447840,47.620,42.253,91.621,32.973,
885735,5.240,17.571,6.479,3.689,
1771470,9.103,21.695,11.889,6.583,
3542940,17.943,32.942,33.086,12.946,
7085880,35.881,35.779,65.225,24.552,
2657205,13.654,27.139,20.513,9.999,
5314410,27.194,32.549,45.458,18.621,
7971615,40.081,37.108,71.431,27.605,
25,0.782,2.303,0.855,0.212,
50,0.260,2.782,0.605,0.190,
100,0.259,3.928,0.679,0.180,
200,0.258,5.775,0.632,0.198,
400,0.259,6.632,0.674,0.208,
800,0.262,9.182,0.743,0.204,
1600,0.264,12.984,0.756,0.206,
3200,0.265,21.553,0.820,0.219,
6400,0.351,6.072,0.869,0.363,
12800,0.360,8.191,0.965,0.324,
25600,0.551,7.473,0.997,0.377,
51200,0.623,9.450,1.281,0.630,
102400,1.039,10.182,1.758,0.848,
204800,1.514,11.746,2.381,1.276,
409600,2.526,13.716,3.353,1.711,
819200,4.795,17.228,5.956,3.447,
1638400,8.338,21.525,11.233,6.225,
3276800,16.790,25.415,22.340,11.824,
6553600,32.556,34.786,44.973,22.969,
75,0.774,4.552,0.676,0.285,
150,0.266,7.147,0.446,0.297,
300,0.278,7.627,0.589,0.191,
600,0.273,9.101,1.202,0.261,
1200,0.290,13.654,0.786,0.188,
2400,0.268,20.671,0.846,0.207,
4800,0.291,11.437,1.160,0.314,
9600,0.325,7.470,1.002,0.310,
19200,0.453,7.800,1.089,0.425,
38400,0.560,11.839,1.228,0.358,
76800,0.831,12.293,1.528,1.013,
153600,1.423,13.027,2.075,1.005,
307200,2.265,15.435,2.801,1.309,
614400,3.575,16.682,4.722,2.536,
1228800,6.469,21.120,8.411,4.848,
2457600,12.973,25.350,16.571,9.170,
4915200,24.345,35.985,34.007,18.087,
9830400,48.673,41.368,88.022,33.900,
225,0.869,7.212,0.708,0.248,
450,0.269,9.989,0.706,0.237,
900,0.278,12.072,0.847,0.228,
1800,0.270,16.344,0.808,0.211,
3600,0.304,23.965,1.372,0.212,
7200,0.302,12.748,1.331,0.240,
14400,0.362,14.450,1.327,0.236,
28800,0.629,16.039,1.342,0.622,
57600,0.728,9.301,1.321,0.849,
115200,0.984,11.337,1.478,0.789,
230400,1.816,15.374,7.090,1.440,
460800,3.036,17.786,3.808,2.049,
921600,5.011,19.414,6.906,4.052,
1843200,9.580,23.795,12.737,7.168,
3686400,18.315,28.124,25.157,13.167,
7372800,38.470,37.954,51.409,25.865,
675,0.861,8.478,0.787,0.259,
1350,0.271,15.958,0.795,0.189,
2700,0.268,20.749,0.810,0.184,
5400,0.293,11.638,1.231,0.197,
10800,0.312,14.683,1.634,0.204,
21600,0.526,17.047,1.453,0.557,
43200,0.629,17.061,1.441,0.402,
86400,0.958,19.588,1.792,0.700,
172800,1.356,20.279,2.645,1.057,
345600,2.242,24.258,3.894,1.815,
691200,3.976,16.157,5.360,2.714,
1382400,7.186,20.495,9.141,5.563,
2764800,14.674,27.394,20.041,9.982,
5529600,29.594,37.730,38.548,19.349,
2025,5.256,15.100,0.924,0.193,
4050,0.274,29.084,1.084,0.212,
8100,0.302,8.625,1.106,0.332,
16200,0.404,13.572,1.687,0.233,
32400,0.478,14.974,1.297,0.626,
64800,0.847,19.042,1.600,0.443,
129600,1.091,21.305,2.285,0.878,
259200,1.965,22.685,3.353,1.286,
518400,3.111,26.438,5.835,2.356,
1036800,5.596,29.155,10.575,4.143,
2073600,10.857,24.406,14.511,7.721,
4147200,21.674,28.057,27.347,14.673,
8294400,41.273,37.175,55.741,28.849,
6075,0.885,7.542,1.219,0.338,
12150,0.383,12.960,1.367,0.238,
24300,0.505,7.416,1.065,0.579,
48600,0.843,9.429,1.704,0.419,
97200,0.944,12.040,1.449,0.755,
194400,1.297,12.165,1.981,1.117,
388800,2.652,15.691,3.688,1.682,
777600,4.322,19.219,6.197,3.098,
1555200,8.408,24.108,12.388,5.865,
3110400,15.866,27.432,23.364,11.270,
6220800,31.037,40.861,68.279,21.682,
18225,0.972,9.127,1.374,0.392,
36450,0.502,11.621,1.111,0.459,
72900,0.744,13.316,4.415,1.127,
145800,1.352,13.577,1.783,0.925,
291600,1.924,16.995,2.886,1.473,
583200,3.320,18.376,5.187,2.660,
1166400,6.120,22.021,9.335,4.678,
2332800,12.150,26.604,17.869,8.990,
4665600,24.771,40.434,52.574,16.634,
9331200,47.022,43.585,105.648,32.362,
54675,8.466,9.818,1.611,0.405,
109350,1.053,11.408,1.538,0.823,
218700,1.629,15.626,2.496,1.087,
437400,2.750,19.544,3.829,1.909,
874800,4.797,21.266,7.423,3.648,
1749600,10.191,23.837,12.725,6.548,
3499200,19.588,28.438,26.230,12.592,
6998400,35.275,41.574,72.690,26.881,
164025,1.555,15.638,2.392,1.151,
328050,2.363,20.823,3.913,1.386,
656100,3.985,18.225,5.035,2.872,
1312200,7.284,22.743,10.513,5.311,
2624400,13.595,26.475,18.893,9.709,
5248800,26.549,39.595,55.740,18.555,
492075,6.684,15.111,4.026,2.051,
984150,5.545,25.375,9.270,4.134,
1968300,9.984,24.739,14.965,7.249,
3936600,20.057,28.519,28.157,14.089,
7873200,39.159,42.080,81.548,27.855,
1476225,7.879,21.359,10.627,5.690,
2952450,14.846,25.539,20.191,10.859,
5904900,30.042,39.256,59.507,20.743,
4428675,23.005,34.542,38.618,15.951,
8857350,44.475,42.845,92.868,30.396,
125,0.712,3.154,1.089,0.194,
250,0.271,4.163,0.692,0.182,
500,0.264,8.248,0.921,0.216,
1000,0.285,9.343,0.932,0.214,
2000,0.270,14.814,1.201,0.193,
4000,0.289,22.836,0.868,0.206,
8000,0.309,5.166,1.027,0.302,
16000,0.382,5.970,1.045,0.393,
32000,0.541,6.479,1.075,0.434,
64000,0.704,8.840,1.292,0.527,
128000,1.295,9.261,1.940,0.936,
256000,1.728,11.944,2.936,1.181,
512000,3.031,14.914,4.132,2.457,
1024000,5.380,17.026,7.051,4.081,
2048000,10.461,21.219,13.091,7.479,
4096000,20.420,26.492,26.359,14.595,
8192000,40.947,35.417,54.651,28.047,
375,7.277,6.754,0.952,0.209,
750,0.288,12.050,0.979,0.204,
