NumberOfVectors,FullBinSize,SimultaneuousClients,CUFFT,FFTW3
6553600,1,1,1114931,-1,
6553600,1,1,961497,-1,
6553600,1,1,962045,-1,
6553600,1,1,962994,-1,
6553600,1,1,962344,-1,
6553600,1,1,962746,-1,
6553600,1,1,962593,-1,
6553600,1,1,961139,-1,
6553600,1,1,964749,-1,
6553600,1,1,961835,-1,
6553600,1,1,961490,-1,
6553600,1,1,961362,-1,
6553600,1,1,960111,-1,
6553600,1,1,962582,-1,
6553600,1,1,963986,-1,
6553600,1,1,959735,-1,
6553600,1,1,961851,-1,
6553600,1,1,962216,-1,
6553600,1,1,961988,-1,
6553600,1,1,961468,-1,
6553600,1,1,962034,-1,
6553600,1,1,963328,-1,
